invoice_date,Product,daily_demand
2023-01-09,Powdered milk 18% mg,0.0
2023-01-09,Powdered milk 20% mg,0.0
2023-01-09,Powdered milk 26% mg,0.0
2023-01-09,Powdered milk 28% mg,0.0
2023-01-09,Powdered whey,0.0
2023-01-09,Skimmed pasteurized milk,0.0
2023-01-09,Skimmed powdered milk,0.0
2023-01-09,Small cheese,0.0
2023-01-09,Sterilized semi-skimmed milk,0.0
2023-01-09,Sterilized skimmed milk,3.0
2023-01-09,Sterilized whole milk,0.0
2023-01-09,Sweetened condensed milk,0.0
2023-01-09,Total powdered milk,0.0
2023-01-09,Yogurt,0.0
2023-01-09,chocolate milk,0.0
2023-01-10,Butter,0.0
2023-01-10,Cheese,0.0
2023-01-10,Condensed milk,0.0
2023-01-10,Cream,1.0
2023-01-10,Cultured milk,0.0
2023-01-10,Evaporated milk,0.0
2023-01-10,Flavored sterilized milk,0.0
2023-01-10,Modified milk,0.0
2023-01-10,Pasteurized milk 2.5% mg,0.0
2023-01-10,Pasteurized milk 3.0% mg,0.0
2023-01-10,Powdered milk 12% mg,0.0
2023-01-10,Powdered milk 18% mg,0.0
2023-01-10,Powdered milk 20% mg,0.0
2023-01-10,Powdered milk 26% mg,0.0
2023-01-10,Powdered milk 28% mg,0.0
2023-01-10,Powdered whey,0.0
2023-01-10,Skimmed pasteurized milk,0.0
2023-01-10,Skimmed powdered milk,4.0
2023-01-10,Small cheese,0.0
2023-01-10,Sterilized semi-skimmed milk,0.0
2023-01-10,Sterilized skimmed milk,0.0
2023-01-10,Sterilized whole milk,0.0
2023-01-10,Sweetened condensed milk,0.0
2023-01-10,Total powdered milk,0.0
2023-01-10,Yogurt,0.0
2023-01-10,chocolate milk,0.0
2023-01-11,Butter,0.0
2023-01-11,Cheese,0.0
2023-01-11,Condensed milk,0.0
2023-01-11,Cream,1.0
2023-01-11,Cultured milk,0.0
2023-01-11,Evaporated milk,0.0
2023-01-11,Flavored sterilized milk,0.0
2023-01-11,Modified milk,0.0
2023-01-11,Pasteurized milk 2.5% mg,0.0
2023-01-11,Pasteurized milk 3.0% mg,0.0
2023-01-11,Powdered milk 12% mg,0.0
2023-01-11,Powdered milk 18% mg,0.0
2023-01-11,Powdered milk 20% mg,0.0
2023-01-11,Powdered milk 26% mg,1.0
2023-01-11,Powdered milk 28% mg,0.0
2023-01-11,Powdered whey,0.0
2023-01-11,Skimmed pasteurized milk,0.0
2023-01-11,Skimmed powdered milk,0.0
2023-01-11,Small cheese,0.0
2023-01-11,Sterilized semi-skimmed milk,0.0
2023-01-11,Sterilized skimmed milk,0.0
2023-01-11,Sterilized whole milk,0.0
2023-01-11,Sweetened condensed milk,0.0
2023-01-11,Total powdered milk,0.0
2023-01-11,Yogurt,0.0
2023-01-11,chocolate milk,0.0
2023-01-12,Butter,3.0
2023-01-12,Cheese,0.0
2023-01-12,Condensed milk,0.0
2023-01-12,Cream,0.0
2023-01-12,Cultured milk,0.0
2023-01-12,Evaporated milk,0.0
2023-01-12,Flavored sterilized milk,0.0
2023-01-12,Modified milk,0.0
2023-01-12,Pasteurized milk 2.5% mg,0.0
2023-01-12,Pasteurized milk 3.0% mg,0.0
2023-01-12,Powdered milk 12% mg,0.0
2023-01-12,Powdered milk 18% mg,0.0
2023-01-12,Powdered milk 20% mg,0.0
2023-01-12,Powdered milk 26% mg,0.0
2023-01-12,Powdered milk 28% mg,0.0
2023-01-12,Powdered whey,0.0
2023-01-12,Skimmed pasteurized milk,0.0
2023-01-12,Skimmed powdered milk,0.0
2023-01-12,Small cheese,0.0
2023-01-12,Sterilized semi-skimmed milk,0.0
2023-01-12,Sterilized skimmed milk,0.0
2023-01-12,Sterilized whole milk,2.0
2023-01-12,Sweetened condensed milk,0.0
2023-01-12,Total powdered milk,0.0
2023-01-12,Yogurt,5.0
2023-01-12,chocolate milk,2.0
2023-01-13,Butter,0.0
2023-01-13,Cheese,0.0
2023-01-13,Condensed milk,0.0
2023-01-13,Cream,0.0
2023-01-13,Cultured milk,0.0
2023-01-13,Evaporated milk,0.0
2023-01-13,Flavored sterilized milk,0.0
2023-01-13,Modified milk,0.0
2023-01-13,Pasteurized milk 2.5% mg,0.0
2023-01-13,Pasteurized milk 3.0% mg,0.0
2023-01-13,Powdered milk 12% mg,0.0
2023-01-13,Powdered milk 18% mg,0.0
2023-01-13,Powdered milk 20% mg,0.0
2023-01-13,Powdered milk 26% mg,0.0
2023-01-13,Powdered milk 28% mg,0.0
2023-01-13,Powdered whey,0.0
2023-01-13,Skimmed pasteurized milk,0.0
2023-01-13,Skimmed powdered milk,0.0
2023-01-13,Small cheese,0.0
2023-01-13,Sterilized semi-skimmed milk,0.0
2023-01-13,Sterilized skimmed milk,0.0
2023-01-13,Sterilized whole milk,0.0
2023-01-13,Sweetened condensed milk,0.0
2023-01-13,Total powdered milk,0.0
2023-01-13,Yogurt,0.0
2023-01-13,chocolate milk,0.0
2023-01-14,Butter,0.0
2023-01-14,Cheese,0.0
2023-01-14,Condensed milk,0.0
2023-01-14,Cream,0.0
2023-01-14,Cultured milk,0.0
2023-01-14,Evaporated milk,0.0
2023-01-14,Flavored sterilized milk,0.0
2023-01-14,Modified milk,0.0
2023-01-14,Pasteurized milk 2.5% mg,0.0
2023-01-14,Pasteurized milk 3.0% mg,0.0
2023-01-14,Powdered milk 12% mg,0.0
2023-01-14,Powdered milk 18% mg,0.0
2023-01-14,Powdered milk 20% mg,0.0
2023-01-14,Powdered milk 26% mg,0.0
2023-01-14,Powdered milk 28% mg,0.0
2023-01-14,Powdered whey,0.0
2023-01-14,Skimmed pasteurized milk,0.0
2023-01-14,Skimmed powdered milk,0.0
2023-01-14,Small cheese,0.0
2023-01-14,Sterilized semi-skimmed milk,0.0
2023-01-14,Sterilized skimmed milk,0.0
2023-01-14,Sterilized whole milk,0.0
2023-01-14,Sweetened condensed milk,0.0
2023-01-14,Total powdered milk,0.0
2023-01-14,Yogurt,0.0
2023-01-14,chocolate milk,0.0
2023-01-15,Butter,0.0
2023-01-15,Cheese,0.0
2023-01-15,Condensed milk,0.0
2023-01-15,Cream,0.0
2023-01-15,Cultured milk,0.0
2023-01-15,Evaporated milk,0.0
2023-01-15,Flavored sterilized milk,0.0
2023-01-15,Modified milk,0.0
2023-01-15,Pasteurized milk 2.5% mg,0.0
2023-01-15,Pasteurized milk 3.0% mg,1.0
2023-01-15,Powdered milk 12% mg,0.0
2023-01-15,Powdered milk 18% mg,0.0
2023-01-15,Powdered milk 20% mg,0.0
2023-01-15,Powdered milk 26% mg,0.0
2023-01-15,Powdered milk 28% mg,0.0
2023-01-15,Powdered whey,0.0
2023-01-15,Skimmed pasteurized milk,1.0
2023-01-15,Skimmed powdered milk,1.0
2023-01-15,Small cheese,0.0
2023-01-15,Sterilized semi-skimmed milk,0.0
2023-01-15,Sterilized skimmed milk,0.0
2023-01-15,Sterilized whole milk,0.0
2023-01-15,Sweetened condensed milk,0.0
2023-01-15,Total powdered milk,0.0
2023-01-15,Yogurt,0.0
2023-01-15,chocolate milk,0.0
2023-01-16,Butter,0.0
2023-01-16,Cheese,0.0
2023-01-16,Condensed milk,3.0
2023-01-16,Cream,0.0
2023-01-16,Cultured milk,0.0
2023-01-16,Evaporated milk,0.0
2023-01-16,Flavored sterilized milk,0.0
2023-01-16,Modified milk,0.0
2023-01-16,Pasteurized milk 2.5% mg,0.0
2023-01-16,Pasteurized milk 3.0% mg,0.0
2023-01-16,Powdered milk 12% mg,0.0
2023-01-16,Powdered milk 18% mg,0.0
2023-01-16,Powdered milk 20% mg,0.0
2023-01-16,Powdered milk 26% mg,0.0
2023-01-16,Powdered milk 28% mg,0.0
2023-01-16,Powdered whey,0.0
2023-01-16,Skimmed pasteurized milk,0.0
2023-01-16,Skimmed powdered milk,0.0
2023-01-16,Small cheese,0.0
2023-01-16,Sterilized semi-skimmed milk,0.0
2023-01-16,Sterilized skimmed milk,0.0
2023-01-16,Sterilized whole milk,0.0
2023-01-16,Sweetened condensed milk,0.0
2023-01-16,Total powdered milk,0.0
2023-01-16,Yogurt,0.0
2023-01-16,chocolate milk,0.0
2023-01-17,Butter,0.0
2023-01-17,Cheese,0.0
2023-01-17,Condensed milk,0.0
2023-01-17,Cream,0.0
2023-01-17,Cultured milk,0.0
2023-01-17,Evaporated milk,0.0
2023-01-17,Flavored sterilized milk,0.0
2023-01-17,Modified milk,0.0
2023-01-17,Pasteurized milk 2.5% mg,0.0
2023-01-17,Pasteurized milk 3.0% mg,0.0
2023-01-17,Powdered milk 12% mg,0.0
2023-01-17,Powdered milk 18% mg,5.0
2023-01-17,Powdered milk 20% mg,0.0
2023-01-17,Powdered milk 26% mg,0.0
2023-01-17,Powdered milk 28% mg,0.0
2023-01-17,Powdered whey,0.0
2023-01-17,Skimmed pasteurized milk,3.0
2023-01-17,Skimmed powdered milk,0.0
2023-01-17,Small cheese,0.0
2023-01-17,Sterilized semi-skimmed milk,0.0
2023-01-17,Sterilized skimmed milk,0.0
2023-01-17,Sterilized whole milk,0.0
2023-01-17,Sweetened condensed milk,0.0
2023-01-17,Total powdered milk,0.0
2023-01-17,Yogurt,0.0
2023-01-17,chocolate milk,0.0
2023-01-18,Butter,0.0
2023-01-18,Cheese,0.0
2023-01-18,Condensed milk,0.0
2023-01-18,Cream,0.0
2023-01-18,Cultured milk,0.0
2023-01-18,Evaporated milk,0.0
2023-01-18,Flavored sterilized milk,0.0
2023-01-18,Modified milk,0.0
2023-01-18,Pasteurized milk 2.5% mg,0.0
2023-01-18,Pasteurized milk 3.0% mg,0.0
2023-01-18,Powdered milk 12% mg,0.0
2023-01-18,Powdered milk 18% mg,0.0
2023-01-18,Powdered milk 20% mg,0.0
2023-01-18,Powdered milk 26% mg,1.0
2023-01-18,Powdered milk 28% mg,4.0
2023-01-18,Powdered whey,0.0
2023-01-18,Skimmed pasteurized milk,0.0
2023-01-18,Skimmed powdered milk,0.0
2023-01-18,Small cheese,0.0
2023-01-18,Sterilized semi-skimmed milk,0.0
2023-01-18,Sterilized skimmed milk,0.0
2023-01-18,Sterilized whole milk,0.0
2023-01-18,Sweetened condensed milk,0.0
2023-01-18,Total powdered milk,0.0
2023-01-18,Yogurt,0.0
2023-01-18,chocolate milk,0.0
2023-01-19,Butter,0.0
2023-01-19,Cheese,0.0
2023-01-19,Condensed milk,0.0
2023-01-19,Cream,0.0
2023-01-19,Cultured milk,0.0
2023-01-19,Evaporated milk,0.0
2023-01-19,Flavored sterilized milk,0.0
2023-01-19,Modified milk,0.0
2023-01-19,Pasteurized milk 2.5% mg,0.0
2023-01-19,Pasteurized milk 3.0% mg,0.0
2023-01-19,Powdered milk 12% mg,0.0
2023-01-19,Powdered milk 18% mg,0.0
2023-01-19,Powdered milk 20% mg,0.0
2023-01-19,Powdered milk 26% mg,0.0
2023-01-19,Powdered milk 28% mg,0.0
2023-01-19,Powdered whey,0.0
2023-01-19,Skimmed pasteurized milk,0.0
2023-01-19,Skimmed powdered milk,0.0
2023-01-19,Small cheese,0.0
2023-01-19,Sterilized semi-skimmed milk,0.0
2023-01-19,Sterilized skimmed milk,0.0
2023-01-19,Sterilized whole milk,0.0
2023-01-19,Sweetened condensed milk,0.0
2023-01-19,Total powdered milk,0.0
2023-01-19,Yogurt,0.0
2023-01-19,chocolate milk,0.0
2023-01-20,Butter,0.0
2023-01-20,Cheese,0.0
2023-01-20,Condensed milk,0.0
2023-01-20,Cream,0.0
2023-01-20,Cultured milk,0.0
2023-01-20,Evaporated milk,0.0
2023-01-20,Flavored sterilized milk,0.0
2023-01-20,Modified milk,0.0
2023-01-20,Pasteurized milk 2.5% mg,0.0
2023-01-20,Pasteurized milk 3.0% mg,0.0
2023-01-20,Powdered milk 12% mg,0.0
2023-01-20,Powdered milk 18% mg,0.0
2023-01-20,Powdered milk 20% mg,0.0
2023-01-20,Powdered milk 26% mg,0.0
2023-01-20,Powdered milk 28% mg,0.0
2023-01-20,Powdered whey,0.0
2023-01-20,Skimmed pasteurized milk,0.0
2023-01-20,Skimmed powdered milk,0.0
2023-01-20,Small cheese,0.0
2023-01-20,Sterilized semi-skimmed milk,0.0
2023-01-20,Sterilized skimmed milk,0.0
2023-01-20,Sterilized whole milk,0.0
2023-01-20,Sweetened condensed milk,0.0
2023-01-20,Total powdered milk,0.0
2023-01-20,Yogurt,0.0
2023-01-20,chocolate milk,0.0
2023-01-21,Butter,0.0
2023-01-21,Cheese,0.0
2023-01-21,Condensed milk,0.0
2023-01-21,Cream,0.0
2023-01-21,Cultured milk,0.0
2023-01-21,Evaporated milk,0.0
2023-01-21,Flavored sterilized milk,0.0
2023-01-21,Modified milk,0.0
2023-01-21,Pasteurized milk 2.5% mg,0.0
2023-01-21,Pasteurized milk 3.0% mg,0.0
2023-01-21,Powdered milk 12% mg,2.0
2023-01-21,Powdered milk 18% mg,0.0
2023-01-21,Powdered milk 20% mg,0.0
2023-01-21,Powdered milk 26% mg,0.0
2023-01-21,Powdered milk 28% mg,0.0
2023-01-21,Powdered whey,0.0
2023-01-21,Skimmed pasteurized milk,0.0
2023-01-21,Skimmed powdered milk,0.0
2023-01-21,Small cheese,0.0
2023-01-21,Sterilized semi-skimmed milk,0.0
2023-01-21,Sterilized skimmed milk,0.0
2023-01-21,Sterilized whole milk,0.0
2023-01-21,Sweetened condensed milk,0.0
2023-01-21,Total powdered milk,0.0
2023-01-21,Yogurt,0.0
2023-01-21,chocolate milk,0.0
2023-01-22,Butter,0.0
2023-01-22,Cheese,0.0
2023-01-22,Condensed milk,0.0
2023-01-22,Cream,0.0
2023-01-22,Cultured milk,0.0
2023-01-22,Evaporated milk,0.0
2023-01-22,Flavored sterilized milk,0.0
2023-01-22,Modified milk,0.0
2023-01-22,Pasteurized milk 2.5% mg,0.0
2023-01-22,Pasteurized milk 3.0% mg,0.0
2023-01-22,Powdered milk 12% mg,0.0
2023-01-22,Powdered milk 18% mg,0.0
2023-01-22,Powdered milk 20% mg,4.0
2023-01-22,Powdered milk 26% mg,0.0
2023-01-22,Powdered milk 28% mg,0.0
2023-01-22,Powdered whey,0.0
2023-01-22,Skimmed pasteurized milk,0.0
2023-01-22,Skimmed powdered milk,0.0
2023-01-22,Small cheese,0.0
2023-01-22,Sterilized semi-skimmed milk,0.0
2023-01-22,Sterilized skimmed milk,0.0
2023-01-22,Sterilized whole milk,0.0
2023-01-22,Sweetened condensed milk,0.0
2023-01-22,Total powdered milk,0.0
2023-01-22,Yogurt,0.0
2023-01-22,chocolate milk,0.0
2023-01-23,Butter,0.0
2023-01-23,Cheese,0.0
2023-01-23,Condensed milk,0.0
2023-01-23,Cream,0.0
2023-01-23,Cultured milk,0.0
2023-01-23,Evaporated milk,0.0
2023-01-23,Flavored sterilized milk,0.0
2023-01-23,Modified milk,0.0
2023-01-23,Pasteurized milk 2.5% mg,0.0
2023-01-23,Pasteurized milk 3.0% mg,0.0
2023-01-23,Powdered milk 12% mg,3.0
2023-01-23,Powdered milk 18% mg,0.0
2023-01-23,Powdered milk 20% mg,0.0
2023-01-23,Powdered milk 26% mg,0.0
2023-01-23,Powdered milk 28% mg,0.0
2023-01-23,Powdered whey,0.0
2023-01-23,Skimmed pasteurized milk,0.0
2023-01-23,Skimmed powdered milk,0.0
2023-01-23,Small cheese,0.0
2023-01-23,Sterilized semi-skimmed milk,0.0
2023-01-23,Sterilized skimmed milk,0.0
2023-01-23,Sterilized whole milk,0.0
2023-01-23,Sweetened condensed milk,0.0
2023-01-23,Total powdered milk,0.0
2023-01-23,Yogurt,0.0
2023-01-23,chocolate milk,0.0
2023-01-24,Butter,0.0
2023-01-24,Cheese,0.0
2023-01-24,Condensed milk,0.0
2023-01-24,Cream,0.0
2023-01-24,Cultured milk,0.0
2023-01-24,Evaporated milk,0.0
2023-01-24,Flavored sterilized milk,0.0
2023-01-24,Modified milk,4.0
2023-01-24,Pasteurized milk 2.5% mg,0.0
2023-01-24,Pasteurized milk 3.0% mg,0.0
2023-01-24,Powdered milk 12% mg,0.0
2023-01-24,Powdered milk 18% mg,0.0
2023-01-24,Powdered milk 20% mg,0.0
2023-01-24,Powdered milk 26% mg,0.0
2023-01-24,Powdered milk 28% mg,0.0
2023-01-24,Powdered whey,0.0
2023-01-24,Skimmed pasteurized milk,0.0
2023-01-24,Skimmed powdered milk,0.0
2023-01-24,Small cheese,0.0
2023-01-24,Sterilized semi-skimmed milk,0.0
2023-01-24,Sterilized skimmed milk,0.0
2023-01-24,Sterilized whole milk,0.0
2023-01-24,Sweetened condensed milk,0.0
2023-01-24,Total powdered milk,0.0
2023-01-24,Yogurt,0.0
2023-01-24,chocolate milk,0.0
2023-01-25,Butter,0.0
2023-01-25,Cheese,0.0
2023-01-25,Condensed milk,0.0
2023-01-25,Cream,0.0
2023-01-25,Cultured milk,0.0
2023-01-25,Evaporated milk,0.0
2023-01-25,Flavored sterilized milk,0.0
2023-01-25,Modified milk,0.0
2023-01-25,Pasteurized milk 2.5% mg,0.0
2023-01-25,Pasteurized milk 3.0% mg,0.0
2023-01-25,Powdered milk 12% mg,0.0
2023-01-25,Powdered milk 18% mg,0.0
2023-01-25,Powdered milk 20% mg,0.0
2023-01-25,Powdered milk 26% mg,0.0
2023-01-25,Powdered milk 28% mg,0.0
2023-01-25,Powdered whey,5.0
2023-01-25,Skimmed pasteurized milk,0.0
2023-01-25,Skimmed powdered milk,5.0
2023-01-25,Small cheese,0.0
2023-01-25,Sterilized semi-skimmed milk,0.0
2023-01-25,Sterilized skimmed milk,0.0
2023-01-25,Sterilized whole milk,0.0
2023-01-25,Sweetened condensed milk,0.0
2023-01-25,Total powdered milk,0.0
2023-01-25,Yogurt,0.0
2023-01-25,chocolate milk,0.0
2023-01-26,Butter,0.0
2023-01-26,Cheese,0.0
2023-01-26,Condensed milk,0.0
2023-01-26,Cream,0.0
2023-01-26,Cultured milk,0.0
2023-01-26,Evaporated milk,0.0
2023-01-26,Flavored sterilized milk,0.0
2023-01-26,Modified milk,0.0
2023-01-26,Pasteurized milk 2.5% mg,0.0
2023-01-26,Pasteurized milk 3.0% mg,0.0
2023-01-26,Powdered milk 12% mg,0.0
2023-01-26,Powdered milk 18% mg,0.0
2023-01-26,Powdered milk 20% mg,3.0
2023-01-26,Powdered milk 26% mg,0.0
2023-01-26,Powdered milk 28% mg,0.0
2023-01-26,Powdered whey,0.0
2023-01-26,Skimmed pasteurized milk,0.0
2023-01-26,Skimmed powdered milk,0.0
2023-01-26,Small cheese,0.0
2023-01-26,Sterilized semi-skimmed milk,0.0
2023-01-26,Sterilized skimmed milk,0.0
2023-01-26,Sterilized whole milk,0.0
2023-01-26,Sweetened condensed milk,0.0
2023-01-26,Total powdered milk,0.0
2023-01-26,Yogurt,0.0
2023-01-26,chocolate milk,0.0
2023-01-27,Butter,0.0
2023-01-27,Cheese,0.0
2023-01-27,Condensed milk,0.0
2023-01-27,Cream,0.0
2023-01-27,Cultured milk,0.0
2023-01-27,Evaporated milk,0.0
2023-01-27,Flavored sterilized milk,0.0
2023-01-27,Modified milk,0.0
2023-01-27,Pasteurized milk 2.5% mg,0.0
2023-01-27,Pasteurized milk 3.0% mg,0.0
2023-01-27,Powdered milk 12% mg,0.0
2023-01-27,Powdered milk 18% mg,0.0
2023-01-27,Powdered milk 20% mg,0.0
2023-01-27,Powdered milk 26% mg,0.0
2023-01-27,Powdered milk 28% mg,0.0
2023-01-27,Powdered whey,0.0
2023-01-27,Skimmed pasteurized milk,0.0
2023-01-27,Skimmed powdered milk,0.0
2023-01-27,Small cheese,0.0
2023-01-27,Sterilized semi-skimmed milk,0.0
2023-01-27,Sterilized skimmed milk,0.0
2023-01-27,Sterilized whole milk,0.0
2023-01-27,Sweetened condensed milk,0.0
2023-01-27,Total powdered milk,3.0
2023-01-27,Yogurt,0.0
2023-01-27,chocolate milk,0.0
2023-01-28,Butter,0.0
2023-01-28,Cheese,0.0
2023-01-28,Condensed milk,0.0
2023-01-28,Cream,0.0
2023-01-28,Cultured milk,0.0
2023-01-28,Evaporated milk,0.0
2023-01-28,Flavored sterilized milk,0.0
2023-01-28,Modified milk,0.0
2023-01-28,Pasteurized milk 2.5% mg,0.0
2023-01-28,Pasteurized milk 3.0% mg,0.0
2023-01-28,Powdered milk 12% mg,0.0
2023-01-28,Powdered milk 18% mg,0.0
2023-01-28,Powdered milk 20% mg,0.0
2023-01-28,Powdered milk 26% mg,0.0
2023-01-28,Powdered milk 28% mg,0.0
2023-01-28,Powdered whey,0.0
2023-01-28,Skimmed pasteurized milk,0.0
2023-01-28,Skimmed powdered milk,0.0
2023-01-28,Small cheese,0.0
2023-01-28,Sterilized semi-skimmed milk,0.0
2023-01-28,Sterilized skimmed milk,0.0
2023-01-28,Sterilized whole milk,0.0
2023-01-28,Sweetened condensed milk,0.0
2023-01-28,Total powdered milk,0.0
2023-01-28,Yogurt,0.0
2023-01-28,chocolate milk,0.0
2023-01-29,Butter,0.0
2023-01-29,Cheese,0.0
2023-01-29,Condensed milk,0.0
2023-01-29,Cream,0.0
2023-01-29,Cultured milk,0.0
2023-01-29,Evaporated milk,0.0
2023-01-29,Flavored sterilized milk,0.0
2023-01-29,Modified milk,1.0
2023-01-29,Pasteurized milk 2.5% mg,0.0
2023-01-29,Pasteurized milk 3.0% mg,0.0
2023-01-29,Powdered milk 12% mg,0.0
2023-01-29,Powdered milk 18% mg,0.0
2023-01-29,Powdered milk 20% mg,0.0
2023-01-29,Powdered milk 26% mg,0.0
2023-01-29,Powdered milk 28% mg,0.0
2023-01-29,Powdered whey,0.0
2023-01-29,Skimmed pasteurized milk,0.0
2023-01-29,Skimmed powdered milk,0.0
2023-01-29,Small cheese,0.0
2023-01-29,Sterilized semi-skimmed milk,0.0
2023-01-29,Sterilized skimmed milk,0.0
2023-01-29,Sterilized whole milk,0.0
2023-01-29,Sweetened condensed milk,3.0
2023-01-29,Total powdered milk,0.0
2023-01-29,Yogurt,0.0
2023-01-29,chocolate milk,0.0
2023-01-30,Butter,0.0
2023-01-30,Cheese,0.0
2023-01-30,Condensed milk,0.0
2023-01-30,Cream,0.0
2023-01-30,Cultured milk,0.0
2023-01-30,Evaporated milk,4.0
2023-01-30,Flavored sterilized milk,0.0
2023-01-30,Modified milk,0.0
2023-01-30,Pasteurized milk 2.5% mg,0.0
2023-01-30,Pasteurized milk 3.0% mg,0.0
2023-01-30,Powdered milk 12% mg,0.0
2023-01-30,Powdered milk 18% mg,0.0
2023-01-30,Powdered milk 20% mg,0.0
2023-01-30,Powdered milk 26% mg,0.0
2023-01-30,Powdered milk 28% mg,0.0
2023-01-30,Powdered whey,0.0
2023-01-30,Skimmed pasteurized milk,0.0
2023-01-30,Skimmed powdered milk,0.0
2023-01-30,Small cheese,0.0
2023-01-30,Sterilized semi-skimmed milk,0.0
2023-01-30,Sterilized skimmed milk,0.0
2023-01-30,Sterilized whole milk,0.0
2023-01-30,Sweetened condensed milk,0.0
2023-01-30,Total powdered milk,0.0
2023-01-30,Yogurt,0.0
2023-01-30,chocolate milk,0.0
2023-01-31,Butter,0.0
2023-01-31,Cheese,1.0
2023-01-31,Condensed milk,0.0
2023-01-31,Cream,0.0
2023-01-31,Cultured milk,0.0
2023-01-31,Evaporated milk,0.0
2023-01-31,Flavored sterilized milk,0.0
2023-01-31,Modified milk,0.0
2023-01-31,Pasteurized milk 2.5% mg,0.0
2023-01-31,Pasteurized milk 3.0% mg,0.0
2023-01-31,Powdered milk 12% mg,0.0
2023-01-31,Powdered milk 18% mg,0.0
2023-01-31,Powdered milk 20% mg,0.0
2023-01-31,Powdered milk 26% mg,0.0
2023-01-31,Powdered milk 28% mg,0.0
2023-01-31,Powdered whey,0.0
2023-01-31,Skimmed pasteurized milk,0.0
2023-01-31,Skimmed powdered milk,0.0
2023-01-31,Small cheese,0.0
2023-01-31,Sterilized semi-skimmed milk,0.0
2023-01-31,Sterilized skimmed milk,0.0
2023-01-31,Sterilized whole milk,0.0
2023-01-31,Sweetened condensed milk,0.0
2023-01-31,Total powdered milk,0.0
2023-01-31,Yogurt,0.0
2023-01-31,chocolate milk,0.0
2023-02-01,Butter,0.0
2023-02-01,Cheese,5.0
2023-02-01,Condensed milk,0.0
2023-02-01,Cream,0.0
2023-02-01,Cultured milk,0.0
2023-02-01,Evaporated milk,0.0
2023-02-01,Flavored sterilized milk,0.0
2023-02-01,Modified milk,0.0
2023-02-01,Pasteurized milk 2.5% mg,0.0
2023-02-01,Pasteurized milk 3.0% mg,0.0
2023-02-01,Powdered milk 12% mg,0.0
2023-02-01,Powdered milk 18% mg,0.0
2023-02-01,Powdered milk 20% mg,0.0
2023-02-01,Powdered milk 26% mg,0.0
2023-02-01,Powdered milk 28% mg,0.0
2023-02-01,Powdered whey,0.0
2023-02-01,Skimmed pasteurized milk,0.0
2023-02-01,Skimmed powdered milk,2.0
2023-02-01,Small cheese,0.0
2023-02-01,Sterilized semi-skimmed milk,0.0
2023-02-01,Sterilized skimmed milk,0.0
2023-02-01,Sterilized whole milk,1.0
2023-02-01,Sweetened condensed milk,0.0
2023-02-01,Total powdered milk,0.0
2023-02-01,Yogurt,0.0
2023-02-01,chocolate milk,0.0
2023-02-02,Butter,0.0
2023-02-02,Cheese,3.0
