invoice_date,Product,shopping_mall,daily_demand
2023-01-07,Flavored sterilized milk,Kanyon,6.0
2023-01-07,Flavored sterilized milk,Mall of Istanbul,1.0
2023-01-07,Flavored sterilized milk,Metrocity,0.0
2023-01-07,Flavored sterilized milk,Metropol AVM,8.0
2023-01-07,Flavored sterilized milk,Viaport Outlet,4.0
2023-01-07,Flavored sterilized milk,Zorlu Center,0.0
2023-01-07,Modified milk,Cevahir AVM,0.0
2023-01-07,Modified milk,Emaar Square Mall,5.0
2023-01-07,Modified milk,Forum Istanbul,0.0
2023-01-07,Modified milk,Istinye Park,0.0
2023-01-07,Modified milk,Kanyon,0.0
2023-01-07,Modified milk,Mall of Istanbul,5.0
2023-01-07,Modified milk,Metrocity,0.0
2023-01-07,Modified milk,Metropol AVM,5.0
2023-01-07,Modified milk,Viaport Outlet,4.0
2023-01-07,Modified milk,Zorlu Center,0.0
2023-01-07,Pasteurized milk 2.5% mg,Cevahir AVM,0.0
2023-01-07,Pasteurized milk 2.5% mg,Emaar Square Mall,2.0
2023-01-07,Pasteurized milk 2.5% mg,Forum Istanbul,0.0
2023-01-07,Pasteurized milk 2.5% mg,Istinye Park,0.0
2023-01-07,Pasteurized milk 2.5% mg,Kanyon,0.0
2023-01-07,Pasteurized milk 2.5% mg,Mall of Istanbul,0.0
2023-01-07,Pasteurized milk 2.5% mg,Metrocity,0.0
2023-01-07,Pasteurized milk 2.5% mg,Metropol AVM,6.0
2023-01-07,Pasteurized milk 2.5% mg,Viaport Outlet,0.0
2023-01-07,Pasteurized milk 2.5% mg,Zorlu Center,0.0
2023-01-07,Pasteurized milk 3.0% mg,Cevahir AVM,0.0
2023-01-07,Pasteurized milk 3.0% mg,Emaar Square Mall,1.0
2023-01-07,Pasteurized milk 3.0% mg,Forum Istanbul,0.0
2023-01-07,Pasteurized milk 3.0% mg,Istinye Park,0.0
2023-01-07,Pasteurized milk 3.0% mg,Kanyon,2.0
2023-01-07,Pasteurized milk 3.0% mg,Mall of Istanbul,4.0
2023-01-07,Pasteurized milk 3.0% mg,Metrocity,0.0
2023-01-07,Pasteurized milk 3.0% mg,Metropol AVM,0.0
2023-01-07,Pasteurized milk 3.0% mg,Viaport Outlet,0.0
2023-01-07,Pasteurized milk 3.0% mg,Zorlu Center,1.0
2023-01-07,Powdered milk 12% mg,Cevahir AVM,0.0
2023-01-07,Powdered milk 12% mg,Emaar Square Mall,0.0
2023-01-07,Powdered milk 12% mg,Forum Istanbul,0.0
2023-01-07,Powdered milk 12% mg,Istinye Park,4.0
2023-01-07,Powdered milk 12% mg,Kanyon,3.0
2023-01-07,Powdered milk 12% mg,Mall of Istanbul,11.0
2023-01-07,Powdered milk 12% mg,Metrocity,0.0
2023-01-07,Powdered milk 12% mg,Metropol AVM,2.0
2023-01-07,Powdered milk 12% mg,Viaport Outlet,1.0
2023-01-07,Powdered milk 12% mg,Zorlu Center,1.0
2023-01-07,Powdered milk 18% mg,Cevahir AVM,0.0
2023-01-07,Powdered milk 18% mg,Emaar Square Mall,0.0
2023-01-07,Powdered milk 18% mg,Forum Istanbul,4.0
2023-01-07,Powdered milk 18% mg,Istinye Park,0.0
2023-01-07,Powdered milk 18% mg,Kanyon,0.0
2023-01-07,Powdered milk 18% mg,Mall of Istanbul,7.0
2023-01-07,Powdered milk 18% mg,Metrocity,2.0
2023-01-07,Powdered milk 18% mg,Metropol AVM,10.0
2023-01-07,Powdered milk 18% mg,Viaport Outlet,3.0
2023-01-07,Powdered milk 18% mg,Zorlu Center,0.0
2023-01-07,Powdered milk 20% mg,Cevahir AVM,0.0
2023-01-07,Powdered milk 20% mg,Emaar Square Mall,5.0
2023-01-07,Powdered milk 20% mg,Forum Istanbul,0.0
2023-01-07,Powdered milk 20% mg,Istinye Park,4.0
2023-01-07,Powdered milk 20% mg,Kanyon,1.0
2023-01-07,Powdered milk 20% mg,Mall of Istanbul,4.0
2023-01-07,Powdered milk 20% mg,Metrocity,1.0
2023-01-07,Powdered milk 20% mg,Metropol AVM,0.0
2023-01-07,Powdered milk 20% mg,Viaport Outlet,4.0
2023-01-07,Powdered milk 20% mg,Zorlu Center,0.0
2023-01-07,Powdered milk 26% mg,Cevahir AVM,0.0
2023-01-07,Powdered milk 26% mg,Emaar Square Mall,4.0
2023-01-07,Powdered milk 26% mg,Forum Istanbul,6.0
2023-01-07,Powdered milk 26% mg,Istinye Park,0.0
2023-01-07,Powdered milk 26% mg,Kanyon,0.0
2023-01-07,Powdered milk 26% mg,Mall of Istanbul,11.0
2023-01-07,Powdered milk 26% mg,Metrocity,0.0
2023-01-07,Powdered milk 26% mg,Metropol AVM,0.0
2023-01-07,Powdered milk 26% mg,Viaport Outlet,0.0
2023-01-07,Powdered milk 26% mg,Zorlu Center,0.0
2023-01-07,Powdered milk 28% mg,Cevahir AVM,0.0
2023-01-07,Powdered milk 28% mg,Emaar Square Mall,0.0
2023-01-07,Powdered milk 28% mg,Forum Istanbul,0.0
2023-01-07,Powdered milk 28% mg,Istinye Park,0.0
2023-01-07,Powdered milk 28% mg,Kanyon,1.0
2023-01-07,Powdered milk 28% mg,Mall of Istanbul,0.0
2023-01-07,Powdered milk 28% mg,Metrocity,1.0
2023-01-07,Powdered milk 28% mg,Metropol AVM,0.0
2023-01-07,Powdered milk 28% mg,Viaport Outlet,0.0
2023-01-07,Powdered milk 28% mg,Zorlu Center,3.0
2023-01-07,Powdered whey,Cevahir AVM,4.0
2023-01-07,Powdered whey,Emaar Square Mall,1.0
2023-01-07,Powdered whey,Forum Istanbul,0.0
2023-01-07,Powdered whey,Istinye Park,0.0
2023-01-07,Powdered whey,Kanyon,0.0
2023-01-07,Powdered whey,Mall of Istanbul,3.0
2023-01-07,Powdered whey,Metrocity,0.0
2023-01-07,Powdered whey,Metropol AVM,5.0
2023-01-07,Powdered whey,Viaport Outlet,0.0
2023-01-07,Powdered whey,Zorlu Center,0.0
2023-01-07,Skimmed pasteurized milk,Cevahir AVM,0.0
2023-01-07,Skimmed pasteurized milk,Emaar Square Mall,0.0
2023-01-07,Skimmed pasteurized milk,Forum Istanbul,0.0
2023-01-07,Skimmed pasteurized milk,Istinye Park,1.0
2023-01-07,Skimmed pasteurized milk,Kanyon,3.0
2023-01-07,Skimmed pasteurized milk,Mall of Istanbul,7.0
2023-01-07,Skimmed pasteurized milk,Metrocity,3.0
2023-01-07,Skimmed pasteurized milk,Metropol AVM,7.0
2023-01-07,Skimmed pasteurized milk,Viaport Outlet,2.0
2023-01-07,Skimmed pasteurized milk,Zorlu Center,0.0
2023-01-07,Skimmed powdered milk,Cevahir AVM,0.0
2023-01-07,Skimmed powdered milk,Emaar Square Mall,4.0
2023-01-07,Skimmed powdered milk,Forum Istanbul,0.0
2023-01-07,Skimmed powdered milk,Istinye Park,3.0
2023-01-07,Skimmed powdered milk,Kanyon,5.0
2023-01-07,Skimmed powdered milk,Mall of Istanbul,6.0
2023-01-07,Skimmed powdered milk,Metrocity,1.0
2023-01-07,Skimmed powdered milk,Metropol AVM,0.0
2023-01-07,Skimmed powdered milk,Viaport Outlet,0.0
2023-01-07,Skimmed powdered milk,Zorlu Center,0.0
2023-01-07,Small cheese,Cevahir AVM,0.0
2023-01-07,Small cheese,Emaar Square Mall,0.0
2023-01-07,Small cheese,Forum Istanbul,0.0
2023-01-07,Small cheese,Istinye Park,0.0
2023-01-07,Small cheese,Kanyon,0.0
2023-01-07,Small cheese,Mall of Istanbul,5.0
2023-01-07,Small cheese,Metrocity,2.0
2023-01-07,Small cheese,Metropol AVM,0.0
2023-01-07,Small cheese,Viaport Outlet,2.0
2023-01-07,Small cheese,Zorlu Center,0.0
2023-01-07,Sterilized semi-skimmed milk,Cevahir AVM,0.0
2023-01-07,Sterilized semi-skimmed milk,Emaar Square Mall,0.0
2023-01-07,Sterilized semi-skimmed milk,Forum Istanbul,0.0
2023-01-07,Sterilized semi-skimmed milk,Istinye Park,0.0
2023-01-07,Sterilized semi-skimmed milk,Kanyon,1.0
2023-01-07,Sterilized semi-skimmed milk,Mall of Istanbul,0.0
2023-01-07,Sterilized semi-skimmed milk,Metrocity,3.0
2023-01-07,Sterilized semi-skimmed milk,Metropol AVM,3.0
2023-01-07,Sterilized semi-skimmed milk,Viaport Outlet,0.0
2023-01-07,Sterilized semi-skimmed milk,Zorlu Center,4.0
2023-01-07,Sterilized skimmed milk,Cevahir AVM,0.0
2023-01-07,Sterilized skimmed milk,Emaar Square Mall,0.0
2023-01-07,Sterilized skimmed milk,Forum Istanbul,1.0
2023-01-07,Sterilized skimmed milk,Istinye Park,0.0
2023-01-07,Sterilized skimmed milk,Kanyon,0.0
2023-01-07,Sterilized skimmed milk,Mall of Istanbul,5.0
2023-01-07,Sterilized skimmed milk,Metrocity,5.0
2023-01-07,Sterilized skimmed milk,Metropol AVM,0.0
2023-01-07,Sterilized skimmed milk,Viaport Outlet,0.0
2023-01-07,Sterilized skimmed milk,Zorlu Center,0.0
2023-01-07,Sterilized whole milk,Cevahir AVM,0.0
2023-01-07,Sterilized whole milk,Emaar Square Mall,0.0
2023-01-07,Sterilized whole milk,Forum Istanbul,2.0
2023-01-07,Sterilized whole milk,Istinye Park,5.0
2023-01-07,Sterilized whole milk,Kanyon,6.0
2023-01-07,Sterilized whole milk,Mall of Istanbul,7.0
2023-01-07,Sterilized whole milk,Metrocity,7.0
2023-01-07,Sterilized whole milk,Metropol AVM,5.0
2023-01-07,Sterilized whole milk,Viaport Outlet,0.0
2023-01-07,Sterilized whole milk,Zorlu Center,1.0
2023-01-07,Sweetened condensed milk,Cevahir AVM,4.0
2023-01-07,Sweetened condensed milk,Emaar Square Mall,0.0
2023-01-07,Sweetened condensed milk,Forum Istanbul,0.0
2023-01-07,Sweetened condensed milk,Istinye Park,4.0
2023-01-07,Sweetened condensed milk,Kanyon,2.0
2023-01-07,Sweetened condensed milk,Mall of Istanbul,0.0
2023-01-07,Sweetened condensed milk,Metrocity,4.0
2023-01-07,Sweetened condensed milk,Metropol AVM,0.0
2023-01-07,Sweetened condensed milk,Viaport Outlet,1.0
2023-01-07,Sweetened condensed milk,Zorlu Center,0.0
2023-01-07,Total powdered milk,Cevahir AVM,0.0
2023-01-07,Total powdered milk,Emaar Square Mall,0.0
2023-01-07,Total powdered milk,Forum Istanbul,4.0
2023-01-07,Total powdered milk,Istinye Park,0.0
2023-01-07,Total powdered milk,Kanyon,3.0
2023-01-07,Total powdered milk,Mall of Istanbul,4.0
2023-01-07,Total powdered milk,Metrocity,0.0
2023-01-07,Total powdered milk,Metropol AVM,0.0
2023-01-07,Total powdered milk,Viaport Outlet,0.0
2023-01-07,Total powdered milk,Zorlu Center,5.0
2023-01-07,Yogurt,Cevahir AVM,0.0
2023-01-07,Yogurt,Emaar Square Mall,0.0
2023-01-07,Yogurt,Forum Istanbul,1.0
2023-01-07,Yogurt,Istinye Park,5.0
2023-01-07,Yogurt,Kanyon,0.0
2023-01-07,Yogurt,Mall of Istanbul,4.0
2023-01-07,Yogurt,Metrocity,4.0
2023-01-07,Yogurt,Metropol AVM,2.0
2023-01-07,Yogurt,Viaport Outlet,0.0
2023-01-07,Yogurt,Zorlu Center,0.0
2023-01-07,chocolate milk,Cevahir AVM,1.0
2023-01-07,chocolate milk,Emaar Square Mall,0.0
2023-01-07,chocolate milk,Forum Istanbul,0.0
2023-01-07,chocolate milk,Istinye Park,0.0
2023-01-07,chocolate milk,Kanyon,0.0
2023-01-07,chocolate milk,Mall of Istanbul,3.0
2023-01-07,chocolate milk,Metrocity,5.0
2023-01-07,chocolate milk,Metropol AVM,1.0
2023-01-07,chocolate milk,Viaport Outlet,0.0
2023-01-07,chocolate milk,Zorlu Center,0.0
2023-01-08,Butter,Cevahir AVM,0.0
2023-01-08,Butter,Emaar Square Mall,0.0
2023-01-08,Butter,Forum Istanbul,0.0
2023-01-08,Butter,Istinye Park,4.0
2023-01-08,Butter,Kanyon,1.0
2023-01-08,Butter,Mall of Istanbul,0.0
2023-01-08,Butter,Metrocity,0.0
2023-01-08,Butter,Metropol AVM,0.0
2023-01-08,Butter,Viaport Outlet,2.0
2023-01-08,Butter,Zorlu Center,0.0
2023-01-08,Cheese,Cevahir AVM,2.0
2023-01-08,Cheese,Emaar Square Mall,0.0
2023-01-08,Cheese,Forum Istanbul,0.0
2023-01-08,Cheese,Istinye Park,5.0
2023-01-08,Cheese,Kanyon,7.0
2023-01-08,Cheese,Mall of Istanbul,1.0
2023-01-08,Cheese,Metrocity,9.0
2023-01-08,Cheese,Metropol AVM,2.0
2023-01-08,Cheese,Viaport Outlet,4.0
2023-01-08,Cheese,Zorlu Center,3.0
2023-01-08,Condensed milk,Cevahir AVM,1.0
2023-01-08,Condensed milk,Emaar Square Mall,0.0
2023-01-08,Condensed milk,Forum Istanbul,5.0
2023-01-08,Condensed milk,Istinye Park,6.0
2023-01-08,Condensed milk,Kanyon,0.0
2023-01-08,Condensed milk,Mall of Istanbul,0.0
2023-01-08,Condensed milk,Metrocity,4.0
2023-01-08,Condensed milk,Metropol AVM,2.0
2023-01-08,Condensed milk,Viaport Outlet,0.0
2023-01-08,Condensed milk,Zorlu Center,0.0
2023-01-08,Cream,Cevahir AVM,0.0
2023-01-08,Cream,Emaar Square Mall,0.0
2023-01-08,Cream,Forum Istanbul,0.0
2023-01-08,Cream,Istinye Park,0.0
2023-01-08,Cream,Kanyon,0.0
2023-01-08,Cream,Mall of Istanbul,0.0
2023-01-08,Cream,Metrocity,5.0
2023-01-08,Cream,Metropol AVM,0.0
2023-01-08,Cream,Viaport Outlet,0.0
2023-01-08,Cream,Zorlu Center,5.0
2023-01-08,Cultured milk,Cevahir AVM,0.0
2023-01-08,Cultured milk,Emaar Square Mall,0.0
2023-01-08,Cultured milk,Forum Istanbul,0.0
2023-01-08,Cultured milk,Istinye Park,2.0
2023-01-08,Cultured milk,Kanyon,3.0
2023-01-08,Cultured milk,Mall of Istanbul,4.0
2023-01-08,Cultured milk,Metrocity,0.0
2023-01-08,Cultured milk,Metropol AVM,0.0
2023-01-08,Cultured milk,Viaport Outlet,0.0
2023-01-08,Cultured milk,Zorlu Center,0.0
2023-01-08,Evaporated milk,Cevahir AVM,0.0
2023-01-08,Evaporated milk,Emaar Square Mall,0.0
2023-01-08,Evaporated milk,Forum Istanbul,0.0
2023-01-08,Evaporated milk,Istinye Park,0.0
2023-01-08,Evaporated milk,Kanyon,8.0
2023-01-08,Evaporated milk,Mall of Istanbul,0.0
2023-01-08,Evaporated milk,Metrocity,2.0
2023-01-08,Evaporated milk,Metropol AVM,4.0
2023-01-08,Evaporated milk,Viaport Outlet,0.0
2023-01-08,Evaporated milk,Zorlu Center,0.0
2023-01-08,Flavored sterilized milk,Cevahir AVM,0.0
2023-01-08,Flavored sterilized milk,Emaar Square Mall,0.0
2023-01-08,Flavored sterilized milk,Forum Istanbul,3.0
2023-01-08,Flavored sterilized milk,Istinye Park,0.0
2023-01-08,Flavored sterilized milk,Kanyon,13.0
2023-01-08,Flavored sterilized milk,Mall of Istanbul,0.0
2023-01-08,Flavored sterilized milk,Metrocity,2.0
2023-01-08,Flavored sterilized milk,Metropol AVM,10.0
2023-01-08,Flavored sterilized milk,Viaport Outlet,0.0
2023-01-08,Flavored sterilized milk,Zorlu Center,0.0
2023-01-08,Modified milk,Cevahir AVM,0.0
2023-01-08,Modified milk,Emaar Square Mall,3.0
2023-01-08,Modified milk,Forum Istanbul,4.0
2023-01-08,Modified milk,Istinye Park,0.0
2023-01-08,Modified milk,Kanyon,4.0
2023-01-08,Modified milk,Mall of Istanbul,0.0
2023-01-08,Modified milk,Metrocity,5.0
2023-01-08,Modified milk,Metropol AVM,0.0
2023-01-08,Modified milk,Viaport Outlet,0.0
2023-01-08,Modified milk,Zorlu Center,0.0
2023-01-08,Pasteurized milk 2.5% mg,Cevahir AVM,0.0
2023-01-08,Pasteurized milk 2.5% mg,Emaar Square Mall,0.0
2023-01-08,Pasteurized milk 2.5% mg,Forum Istanbul,0.0
2023-01-08,Pasteurized milk 2.5% mg,Istinye Park,2.0
2023-01-08,Pasteurized milk 2.5% mg,Kanyon,0.0
2023-01-08,Pasteurized milk 2.5% mg,Mall of Istanbul,0.0
2023-01-08,Pasteurized milk 2.5% mg,Metrocity,0.0
2023-01-08,Pasteurized milk 2.5% mg,Metropol AVM,1.0
2023-01-08,Pasteurized milk 2.5% mg,Viaport Outlet,1.0
2023-01-08,Pasteurized milk 2.5% mg,Zorlu Center,0.0
2023-01-08,Pasteurized milk 3.0% mg,Cevahir AVM,0.0
2023-01-08,Pasteurized milk 3.0% mg,Emaar Square Mall,0.0
2023-01-08,Pasteurized milk 3.0% mg,Forum Istanbul,0.0
2023-01-08,Pasteurized milk 3.0% mg,Istinye Park,3.0
2023-01-08,Pasteurized milk 3.0% mg,Kanyon,9.0
2023-01-08,Pasteurized milk 3.0% mg,Mall of Istanbul,0.0
2023-01-08,Pasteurized milk 3.0% mg,Metrocity,0.0
2023-01-08,Pasteurized milk 3.0% mg,Metropol AVM,0.0
2023-01-08,Pasteurized milk 3.0% mg,Viaport Outlet,1.0
2023-01-08,Pasteurized milk 3.0% mg,Zorlu Center,0.0
2023-01-08,Powdered milk 12% mg,Cevahir AVM,0.0
2023-01-08,Powdered milk 12% mg,Emaar Square Mall,0.0
2023-01-08,Powdered milk 12% mg,Forum Istanbul,0.0
2023-01-08,Powdered milk 12% mg,Istinye Park,0.0
2023-01-08,Powdered milk 12% mg,Kanyon,1.0
2023-01-08,Powdered milk 12% mg,Mall of Istanbul,5.0
2023-01-08,Powdered milk 12% mg,Metrocity,0.0
2023-01-08,Powdered milk 12% mg,Metropol AVM,0.0
2023-01-08,Powdered milk 12% mg,Viaport Outlet,0.0
2023-01-08,Powdered milk 12% mg,Zorlu Center,0.0
2023-01-08,Powdered milk 18% mg,Cevahir AVM,1.0
2023-01-08,Powdered milk 18% mg,Emaar Square Mall,0.0
2023-01-08,Powdered milk 18% mg,Forum Istanbul,0.0
2023-01-08,Powdered milk 18% mg,Istinye Park,0.0
2023-01-08,Powdered milk 18% mg,Kanyon,0.0
2023-01-08,Powdered milk 18% mg,Mall of Istanbul,0.0
2023-01-08,Powdered milk 18% mg,Metrocity,0.0
2023-01-08,Powdered milk 18% mg,Metropol AVM,0.0
2023-01-08,Powdered milk 18% mg,Viaport Outlet,0.0
2023-01-08,Powdered milk 18% mg,Zorlu Center,0.0
2023-01-08,Powdered milk 20% mg,Cevahir AVM,0.0
2023-01-08,Powdered milk 20% mg,Emaar Square Mall,0.0
2023-01-08,Powdered milk 20% mg,Forum Istanbul,5.0
2023-01-08,Powdered milk 20% mg,Istinye Park,5.0
2023-01-08,Powdered milk 20% mg,Kanyon,0.0
2023-01-08,Powdered milk 20% mg,Mall of Istanbul,15.0
2023-01-08,Powdered milk 20% mg,Metrocity,0.0
2023-01-08,Powdered milk 20% mg,Metropol AVM,0.0
2023-01-08,Powdered milk 20% mg,Viaport Outlet,0.0
2023-01-08,Powdered milk 20% mg,Zorlu Center,1.0
2023-01-08,Powdered milk 26% mg,Cevahir AVM,0.0
2023-01-08,Powdered milk 26% mg,Emaar Square Mall,0.0
2023-01-08,Powdered milk 26% mg,Forum Istanbul,0.0
2023-01-08,Powdered milk 26% mg,Istinye Park,0.0
2023-01-08,Powdered milk 26% mg,Kanyon,0.0
2023-01-08,Powdered milk 26% mg,Mall of Istanbul,2.0
2023-01-08,Powdered milk 26% mg,Metrocity,5.0
2023-01-08,Powdered milk 26% mg,Metropol AVM,3.0
2023-01-08,Powdered milk 26% mg,Viaport Outlet,0.0
2023-01-08,Powdered milk 26% mg,Zorlu Center,0.0
2023-01-08,Powdered milk 28% mg,Cevahir AVM,0.0
2023-01-08,Powdered milk 28% mg,Emaar Square Mall,0.0
2023-01-08,Powdered milk 28% mg,Forum Istanbul,0.0
2023-01-08,Powdered milk 28% mg,Istinye Park,3.0
2023-01-08,Powdered milk 28% mg,Kanyon,0.0
2023-01-08,Powdered milk 28% mg,Mall of Istanbul,3.0
2023-01-08,Powdered milk 28% mg,Metrocity,4.0
2023-01-08,Powdered milk 28% mg,Metropol AVM,0.0
2023-01-08,Powdered milk 28% mg,Viaport Outlet,0.0
2023-01-08,Powdered milk 28% mg,Zorlu Center,0.0
2023-01-08,Powdered whey,Cevahir AVM,0.0
2023-01-08,Powdered whey,Emaar Square Mall,0.0
2023-01-08,Powdered whey,Forum Istanbul,0.0
2023-01-08,Powdered whey,Istinye Park,0.0
2023-01-08,Powdered whey,Kanyon,14.0
2023-01-08,Powdered whey,Mall of Istanbul,0.0
2023-01-08,Powdered whey,Metrocity,2.0
2023-01-08,Powdered whey,Metropol AVM,0.0
2023-01-08,Powdered whey,Viaport Outlet,0.0
2023-01-08,Powdered whey,Zorlu Center,4.0
2023-01-08,Skimmed pasteurized milk,Cevahir AVM,4.0
2023-01-08,Skimmed pasteurized milk,Emaar Square Mall,0.0
2023-01-08,Skimmed pasteurized milk,Forum Istanbul,0.0
2023-01-08,Skimmed pasteurized milk,Istinye Park,0.0
2023-01-08,Skimmed pasteurized milk,Kanyon,3.0
2023-01-08,Skimmed pasteurized milk,Mall of Istanbul,3.0
2023-01-08,Skimmed pasteurized milk,Metrocity,0.0
2023-01-08,Skimmed pasteurized milk,Metropol AVM,0.0
2023-01-08,Skimmed pasteurized milk,Viaport Outlet,0.0
2023-01-08,Skimmed pasteurized milk,Zorlu Center,0.0
2023-01-08,Skimmed powdered milk,Cevahir AVM,0.0
2023-01-08,Skimmed powdered milk,Emaar Square Mall,0.0
2023-01-08,Skimmed powdered milk,Forum Istanbul,3.0
2023-01-08,Skimmed powdered milk,Istinye Park,3.0
2023-01-08,Skimmed powdered milk,Kanyon,3.0
2023-01-08,Skimmed powdered milk,Mall of Istanbul,15.0
2023-01-08,Skimmed powdered milk,Metrocity,0.0
2023-01-08,Skimmed powdered milk,Metropol AVM,3.0
2023-01-08,Skimmed powdered milk,Viaport Outlet,0.0
2023-01-08,Skimmed powdered milk,Zorlu Center,0.0
2023-01-08,Small cheese,Cevahir AVM,0.0
2023-01-08,Small cheese,Emaar Square Mall,0.0
2023-01-08,Small cheese,Forum Istanbul,0.0
2023-01-08,Small cheese,Istinye Park,3.0
2023-01-08,Small cheese,Kanyon,0.0
2023-01-08,Small cheese,Mall of Istanbul,0.0
2023-01-08,Small cheese,Metrocity,1.0
2023-01-08,Small cheese,Metropol AVM,0.0
2023-01-08,Small cheese,Viaport Outlet,0.0
2023-01-08,Small cheese,Zorlu Center,0.0
2023-01-08,Sterilized semi-skimmed milk,Cevahir AVM,4.0
2023-01-08,Sterilized semi-skimmed milk,Emaar Square Mall,0.0
2023-01-08,Sterilized semi-skimmed milk,Forum Istanbul,0.0
2023-01-08,Sterilized semi-skimmed milk,Istinye Park,0.0
2023-01-08,Sterilized semi-skimmed milk,Kanyon,0.0
2023-01-08,Sterilized semi-skimmed milk,Mall of Istanbul,0.0
2023-01-08,Sterilized semi-skimmed milk,Metrocity,0.0
2023-01-08,Sterilized semi-skimmed milk,Metropol AVM,0.0
2023-01-08,Sterilized semi-skimmed milk,Viaport Outlet,4.0
2023-01-08,Sterilized semi-skimmed milk,Zorlu Center,0.0
2023-01-08,Sterilized skimmed milk,Cevahir AVM,0.0
2023-01-08,Sterilized skimmed milk,Emaar Square Mall,0.0
2023-01-08,Sterilized skimmed milk,Forum Istanbul,0.0
2023-01-08,Sterilized skimmed milk,Istinye Park,0.0
2023-01-08,Sterilized skimmed milk,Kanyon,6.0
2023-01-08,Sterilized skimmed milk,Mall of Istanbul,6.0
2023-01-08,Sterilized skimmed milk,Metrocity,0.0
2023-01-08,Sterilized skimmed milk,Metropol AVM,0.0
2023-01-08,Sterilized skimmed milk,Viaport Outlet,3.0
2023-01-08,Sterilized skimmed milk,Zorlu Center,0.0
2023-01-08,Sterilized whole milk,Cevahir AVM,0.0
2023-01-08,Sterilized whole milk,Emaar Square Mall,0.0
2023-01-08,Sterilized whole milk,Forum Istanbul,0.0
2023-01-08,Sterilized whole milk,Istinye Park,0.0
2023-01-08,Sterilized whole milk,Kanyon,6.0
2023-01-08,Sterilized whole milk,Mall of Istanbul,3.0
2023-01-08,Sterilized whole milk,Metrocity,6.0
2023-01-08,Sterilized whole milk,Metropol AVM,3.0
2023-01-08,Sterilized whole milk,Viaport Outlet,0.0
2023-01-08,Sterilized whole milk,Zorlu Center,0.0
2023-01-08,Sweetened condensed milk,Cevahir AVM,0.0
