Customer ID,Age,Gender,Annual Income,Spending Score,cluster,segment
3e260c72-5788-4641-8dad-9cc7a4eaafef,45,1,82425,39,2,Young Spenders
f67d66e3-9403-4d69-aee7-4a75c2a92e4d,28,1,149778,15,2,Young Spenders
7c3297d0-408b-4e5e-9c4c-abc9816af35a,67,0,129484,80,3,Savers
01552f1a-7600-4641-bed4-8e255b8c61d3,69,0,73479,77,3,Savers
a6fac89e-e7a4-482d-9bb6-d32cd2abc346,26,0,81259,29,0,High Value
b6e3dfc4-1a49-4424-a0d9-d0f796002933,45,1,147126,1,2,Young Spenders
10a2a14c-cebf-410d-81dc-c333101b5e6e,39,0,44774,12,0,High Value
8e6a7fa3-bf7d-47dd-9e50-e3e7133fc39c,27,0,198647,25,0,High Value
68969a5d-975c-4a8a-a357-1ce87ab24459,58,0,85181,16,4,Average Customers
92390e01-1df1-4643-b044-546283ae7773,46,1,87741,3,2,Young Spenders
7cb46cd5-4ba6-4177-9d34-ceda14ed832e,45,0,137494,68,3,Savers
579b69ca-a392-45fa-9c5a-25284b10720c,63,0,56531,2,4,Average Customers
38cb6a10-0af1-4505-b3df-0f8ff3a4e4d3,36,1,63564,23,2,Young Spenders
04c9da15-a924-4beb-bcb3-3f2e3f6fcee5,25,0,198265,29,0,High Value
acb1f373-6d7c-46d8-8d72-7e5bf1ee9921,62,1,22655,39,2,Young Spenders
9a359e4f-973c-4f8a-91dd-eb930fddedc8,36,1,125614,35,2,Young Spenders
0a9ca7d8-91f4-4189-a959-e8d5fde13881,48,0,170509,54,3,Savers
3df8f77f-b527-4f3b-a2cf-b163ff5965d9,50,0,101081,32,0,High Value
accc810b-e7e1-44dc-80bd-98e82bef02d1,48,0,45667,95,3,Savers
cb05e681-1286-4f97-8e7d-2c9b67778936,49,0,189732,2,0,High Value
7a9d06b3-26cd-4b0c-aba5-3bb0d0b93c2a,80,0,30718,49,4,Average Customers
c6ee3f30-4f9a-4125-8ba4-c6234e046dfb,33,0,134933,90,3,Savers
4d4ce6bb-da34-4f9c-8f1b-4c05bfe5fcaf,21,1,55978,34,2,Young Spenders
97673bb1-e729-47b7-baad-905d6265d941,38,0,36650,91,3,Savers
e426ab28-977d-4660-95ab-2b387d478cc0,83,0,173558,53,4,Average Customers
085e5698-1f05-46dc-b758-61a28ef4dac3,54,0,29187,61,3,Savers
7897bafe-61af-4fdb-b71e-adc2127aadf8,81,0,188612,45,4,Average Customers
bd38959a-71ba-4d38-8a52-3c23ffcf5cdd,44,1,101492,55,1,Budget Shoppers
d240e1a0-b50c-4bbe-8387-3c6082d42f20,23,1,169008,31,2,Young Spenders
7d14cebc-4aed-430e-ae8a-6415fde6e4e6,39,0,145660,81,3,Savers
32cc9d1d-1db3-40f2-9a29-06f8b37d0463,75,0,118063,35,4,Average Customers
4729da16-d88d-4476-949d-404f5f54adb3,19,0,95891,93,3,Savers
80d67524-2ba0-468a-afaa-5cbfaa28a8a2,24,1,154402,79,1,Budget Shoppers
2ddd5825-e37e-48bd-af2d-5e31c9955021,44,0,112848,14,0,High Value
2260c459-3b7c-443c-a31d-088405b7f09c,55,0,127451,31,4,Average Customers
52c8dde3-1956-411a-a010-c879dadab6fb,60,1,98827,27,2,Young Spenders
3a626479-8b72-4500-a12d-97bb7d76e0e6,33,1,67969,27,2,Young Spenders
601dddb0-0511-48c1-8e91-0dde69040557,52,0,60785,9,0,High Value
50bbe6c3-4d3a-49ae-a529-4b94492fbe8b,72,0,66416,53,4,Average Customers
4679dd26-2bc4-4874-8d90-a262b803daed,72,1,152544,59,1,Budget Shoppers
767bc943-ceae-4dd2-bad9-3fd9c89d7db0,72,0,35507,72,3,Savers
72292647-1690-41d9-a387-4b21980006fc,68,1,167873,24,2,Young Spenders
d949c615-603e-4342-9d11-8fe87ee9c88b,65,1,23002,32,2,Young Spenders
af160348-4b39-4b4e-984c-8c078e995f5d,81,0,111464,34,4,Average Customers
9e5e3cf5-07c0-435d-b0f3-fbe03cf91807,64,0,120469,20,4,Average Customers
65db8631-0f2b-4e2c-ad67-be996981bcbf,76,1,85934,48,2,Young Spenders
385017d0-a567-45ce-8528-28c8b8804112,30,0,99419,4,0,High Value
71a58421-e129-420e-85cf-9292c4d2f309,68,0,194339,35,4,Average Customers
4f8704b7-eec8-4298-8db8-647c635bd27c,70,1,187033,14,2,Young Spenders
65f74905-788e-4b8e-b2ba-70b6ab52fea1,57,1,164879,9,2,Young Spenders
8050f9eb-d0a0-4389-8081-65ae272944b4,90,0,34276,98,3,Savers
835b35a2-e838-401a-86fe-85c3c181bbb6,65,1,97470,67,1,Budget Shoppers
b75fb976-3c52-4fd2-9a94-3a2d85d70a82,36,0,142836,40,0,High Value
690e0568-49a9-475f-aa19-567b98f977bc,72,0,62084,59,4,Average Customers
f4021ca8-b350-4d8b-9293-b2cf386bc0cd,61,1,166752,93,1,Budget Shoppers
c66bcf0c-db9a-4201-8b7d-5c445e585b1d,46,1,43269,54,1,Budget Shoppers
f620a5e6-ee46-4404-9d96-603bbd1fc6e6,68,1,114111,42,2,Young Spenders
0ced3471-db47-4b19-9723-e8333b091f98,31,0,75683,65,0,High Value
b72a56cb-3430-4f05-9f46-6e0a2947bad4,51,1,196283,31,2,Young Spenders
35ec8343-eb43-4faa-af75-7a731381d1ee,37,0,132793,22,0,High Value
e9798111-9781-437a-a9b9-232fe9055216,25,1,141598,63,1,Budget Shoppers
3e51e22e-e3ae-42dd-a4f9-d771c07676ab,30,1,195148,27,2,Young Spenders
716588b1-f862-4c02-a2cf-115cd43f654c,21,0,175112,33,0,High Value
33577556-d045-41a0-9565-7f0f37a39727,65,1,81473,10,2,Young Spenders
d41eea9a-569d-42fb-94b1-d4551204c936,21,1,172147,80,1,Budget Shoppers
90b18bf2-2413-4212-8934-e67ffc233192,22,0,106474,74,0,High Value
8ec74f4e-2836-4605-bf4e-0be43ad7976f,70,0,198254,13,4,Average Customers
101fd379-ff5c-4ec0-8cba-f8a9fc0f42de,71,1,148746,13,2,Young Spenders
5ddc5df7-2656-4cc8-a95e-a0618d7cb8e6,27,0,40263,77,3,Savers
3d95829f-3d62-4ee6-a67f-d6efe7029686,21,0,115816,55,0,High Value
36fd3a7f-6226-4d3b-baf5-e39833d9782b,53,1,149880,32,2,Young Spenders
15ce7dc4-22bf-40cc-b575-9ec4fbe27dd9,51,0,88029,84,3,Savers
f17d239d-6a67-4b77-9fd3-5377ea88c142,49,0,193839,43,0,High Value
958eaa2c-0c0b-46fd-a085-b29ce9d5d8e6,56,0,54564,18,4,Average Customers
81dfd08e-32f2-40a4-95b4-a406726d0dd4,55,1,134714,96,1,Budget Shoppers
83c5dafc-dd2f-4622-9748-23aefb000a38,84,1,187596,44,2,Young Spenders
a81643c1-eaf7-4b97-9952-f6cc0881f37c,38,1,129717,71,1,Budget Shoppers
85a5ff51-fe9e-4518-9fb2-11b86df7d52e,46,0,48265,62,3,Savers
26852b46-dbfa-46f9-8d06-1b568551868e,27,1,179234,97,1,Budget Shoppers
af9762ae-ed8e-4aa0-b32c-922d500b4cf1,53,0,156298,35,4,Average Customers
2cb233a0-5916-49e0-800d-01869340347d,65,1,156022,49,2,Young Spenders
2bcc1223-2182-4117-ba07-1e3aa9d9b4bd,22,1,158363,83,1,Budget Shoppers
6abe4dbc-1b70-4a8f-b0b1-7d1bff27fc65,23,0,114512,25,0,High Value
0947cfd7-72d1-456a-8524-947bf653fa57,18,0,96397,64,0,High Value
ee9dbbc6-b790-4c28-a8b3-07272787b57d,44,0,171517,76,3,Savers
90f1ac1f-07e1-4817-bfde-7e5f23f3e17e,38,0,181538,68,3,Savers
ea1cdcc7-425d-4679-83b5-25b8332b5e6a,54,1,47403,42,2,Young Spenders
a04d4663-eb9d-4fae-bab1-2549c7e02be9,88,0,167725,51,4,Average Customers
ee835638-95d5-4dd0-a912-227ec001ef06,24,0,185297,95,3,Savers
075acc31-0041-4ea2-8917-13a924da66e7,70,1,160196,34,2,Young Spenders
d13d7964-0d0d-4be0-bb64-6f213f921579,42,0,117940,82,3,Savers
2b971aba-879b-431a-8c60-df636ad45731,74,1,190938,65,1,Budget Shoppers
333c0b32-e155-4d2a-abc5-041ec4d25a9c,22,0,138220,20,0,High Value
3874580e-e7bd-4e60-bb68-c5110a04bd8c,78,1,94764,75,1,Budget Shoppers
9dfe38e0-581d-458f-bbd3-7b2d98865728,44,0,83991,1,0,High Value
ad19c628-fe46-4ba6-9182-ad6278513ec6,70,1,82642,56,1,Budget Shoppers
e010b10d-8ed9-41af-bd30-05de2c0c6fe4,58,0,123333,91,3,Savers
dd8ea81b-09a8-434f-a9cb-b0c4baf6f248,38,1,70435,24,2,Young Spenders
5f64caae-cb02-41a9-a648-273e0ed6d7fd,88,1,189093,50,2,Young Spenders
1ecc4ca8-45f0-459e-a911-dae3227d2b0f,33,0,177848,29,0,High Value
f50f86f2-79c0-45bd-9759-ff8154a7ccc3,59,0,96744,97,3,Savers
65f4810e-a2c3-4b7c-ab9e-00e6a91ff435,72,0,83218,32,4,Average Customers
052a6b92-7855-45d9-8903-5c9d69d6903b,27,1,39027,29,2,Young Spenders
40f78c97-8537-4b3f-87d8-796bcbced99f,35,0,139195,33,0,High Value
c225df9d-d2fc-4e1d-8328-894dac5471e1,37,0,144020,45,0,High Value
d93d2a18-c9e8-42ed-a97c-84912b1b0efd,44,0,186527,6,0,High Value
4884ace5-bbb8-4502-96e0-be564083da60,29,1,48177,53,1,Budget Shoppers
60fddc74-977b-4d01-8805-9e859748fdc3,58,0,139447,35,4,Average Customers
fc971eb9-f7bf-46cd-9e83-6d1637d15ccb,39,0,119071,3,0,High Value
e7d7ac8f-87c4-444c-9118-04d957987b53,33,1,181795,1,2,Young Spenders
7b60bfe9-99d7-4355-94fc-0a424055eb05,65,0,150797,44,4,Average Customers
b8858575-b5d6-4f66-8293-7521077f6d92,52,0,76398,31,0,High Value
0729ee7a-444f-4c2e-9889-fb725930eb84,45,0,58209,64,3,Savers
1c8da0fc-e147-4a54-8ae7-b1bdeb6af340,82,1,122425,46,2,Young Spenders
fcbc528b-9386-41fb-a974-19a9643c7580,59,0,46020,78,3,Savers
1f4fb2c0-d8ae-4d1c-90ff-95a8e3dae34d,34,0,61463,72,3,Savers
30a4fcce-b05f-4988-9d5e-0d580e9028d6,52,1,29917,3,2,Young Spenders
dd714097-4205-4096-b6f8-d9822acd3c04,59,1,194285,47,2,Young Spenders
f13a0cc5-6fb9-4882-aef3-9ccfa421b185,45,0,96402,43,0,High Value
edba12eb-e908-42c4-81c7-b6770912c7fd,29,1,146297,82,1,Budget Shoppers
9526a9bd-1ea4-4aad-b4a7-adfc5775bf7a,83,1,148435,71,1,Budget Shoppers
a0ab2029-178e-4eed-a816-277dd64035fa,26,1,111030,96,1,Budget Shoppers
b5c458ec-1d54-465a-b97b-a149d7f32106,79,1,27136,48,2,Young Spenders
46654e16-4363-43d7-b3a5-54120a7b27a2,49,1,197608,33,2,Young Spenders
61ebc7d9-15c5-41eb-adfb-9b772d36cbd4,19,0,55184,32,0,High Value
df11c432-c609-49b4-98d6-855eab890208,48,0,92981,70,3,Savers
0516205d-d816-4d8f-ab9b-d41f1a560e1c,22,1,40540,40,2,Young Spenders
6557b342-6b66-4645-942f-b13f33f67e64,54,1,88161,40,2,Young Spenders
84140ddb-54f1-4b31-b51d-4aecb10b7ac7,83,1,165910,52,1,Budget Shoppers
4fcb4b02-1609-41e0-b9e3-c9468853e577,60,1,167341,34,2,Young Spenders
b7b6c61d-d600-4a63-89d4-157f2012c68e,78,0,90847,77,3,Savers
f5712da2-092b-4f52-aed2-bb93b9fee5ab,33,0,35619,73,3,Savers
f9437183-0091-4f94-b9d5-5a97779b7e70,27,0,41176,50,0,High Value
64883a2d-bb3a-4a30-bb76-47f28ad095de,33,0,120389,51,0,High Value
78883927-b348-4c79-932a-074dbf6af0f8,55,1,74456,13,2,Young Spenders
2a5cdb1a-3f0a-4b5a-a33d-d0d81f7661a9,46,0,181085,64,3,Savers
dc9ca753-aa31-4708-85c5-fa1da4a046d0,87,0,46613,76,3,Savers
d49f5b80-4d55-4e37-889b-c7933c3ac0a5,79,1,83333,73,1,Budget Shoppers
69fae815-5e3e-46de-8e87-4adf49ab06fa,19,0,165788,44,0,High Value
587c0ede-8f38-48df-8df8-bcf74df93862,22,0,99687,51,0,High Value
bc695e38-c5a0-46bd-bc6d-818403c82949,31,1,83755,8,2,Young Spenders
660979ed-b318-4234-9b06-779097557930,84,1,155012,80,1,Budget Shoppers
7eab5cb6-b411-4003-9993-06061f62b7b0,27,1,56250,100,1,Budget Shoppers
e5647be0-0575-4fb6-8b1d-13b06203bd70,20,1,111933,39,2,Young Spenders
d4406fb9-a8c7-45f5-ac3d-85d9001719b4,36,1,191350,99,1,Budget Shoppers
3d83a678-36cb-4cd2-8768-da1634cd1fb3,77,0,94946,92,3,Savers
25cff4ef-5d2a-4fe5-98ee-7ddbd8c0203b,67,0,63064,26,4,Average Customers
d54d2196-da54-4eab-8ef0-0db3e9cdab3f,26,1,82707,4,2,Young Spenders
3f116bae-d95f-4018-9585-f575dc693e71,34,0,135368,27,0,High Value
d7896112-ac06-4c31-90ff-479f168d9ac3,40,1,44192,70,1,Budget Shoppers
6d4c5a7b-cc6d-4fc2-af14-2cc50e842f20,41,1,32923,95,1,Budget Shoppers
6c2dbd85-8fab-489b-b91e-6f148f53bbd7,57,1,100359,18,2,Young Spenders
cf345cd7-8b4a-45c3-b391-1ff46ec6e2d5,35,0,28555,18,0,High Value
7af6d0a2-e4c2-4302-8158-796dfdfa44eb,85,0,142048,11,4,Average Customers
d9d6674e-8eba-4144-b010-5dc49f7b5da1,63,0,111526,91,3,Savers
461ab175-47b2-4231-a028-1d69a212bdea,35,1,33041,15,2,Young Spenders
54078f11-3d3b-4968-9454-50e676d473c4,77,1,157332,57,1,Budget Shoppers
f78d1f58-e72e-42c4-ab4b-056bb0830791,25,1,71927,39,2,Young Spenders
790ce395-417a-4943-a8ae-ce90da71ab39,28,1,194371,19,2,Young Spenders
7f8da330-ce44-4a67-82e8-a39fd77d57ca,31,1,85563,28,2,Young Spenders
48ad970f-c5ad-4018-bf63-4901259b7b5b,85,0,130091,37,4,Average Customers
43137482-a07e-467c-9bad-d892e85677b2,90,1,42161,94,1,Budget Shoppers
4e6f9bfb-77c5-4a14-95c0-497f123477a8,28,1,159617,71,1,Budget Shoppers
df390aac-71a8-45bb-b664-62f451a4e17e,70,1,46295,54,1,Budget Shoppers
2e3dc035-dc1a-4f71-915d-632f29333996,46,1,74147,48,2,Young Spenders
08d38acb-157f-450d-962a-0bf7fa70819a,71,1,190491,75,1,Budget Shoppers
5a6238a5-053e-4480-ac75-37a6874af50f,81,0,124912,24,4,Average Customers
574ccc4a-f0a1-4f46-986e-257dbb8be849,35,1,84210,53,1,Budget Shoppers
5ee59227-16af-4127-a51d-8981576f48ab,37,1,134784,6,2,Young Spenders
5de60d87-18b1-4886-993a-966b6e185657,71,1,185966,6,2,Young Spenders
16226691-d6ba-4b9e-b192-e96299023f4e,50,1,140875,83,1,Budget Shoppers
ce99e2e8-23fc-49ba-9e2b-a6f26706718e,65,1,177020,100,1,Budget Shoppers
cfe84106-02eb-4f9f-b161-789528948f7a,83,1,151188,88,1,Budget Shoppers
2af8b09c-99e5-4f97-b538-cd687a385120,39,0,33191,2,0,High Value
21c59500-d439-4bd9-84f6-06b8767ac948,32,0,163264,64,0,High Value
5cda82c4-cf88-4949-a8b2-0412fdc67680,26,1,40345,23,2,Young Spenders
9db67b3e-286c-4fdd-8a94-53f5a0968f86,24,1,184070,21,2,Young Spenders
1e506e9c-75b3-461d-b7b1-b149e9a21511,65,0,44776,36,4,Average Customers
5cc59727-7005-46f6-928a-1764d0f6032d,36,0,119502,52,0,High Value
6fc3660d-23f5-4a54-a8df-e146387a73f2,41,0,113729,54,0,High Value
493bf3e8-4f51-4842-823f-a2d668293c11,83,0,194008,55,4,Average Customers
175f200e-4faa-4287-96d5-71a85f4884e1,61,0,60084,36,4,Average Customers
37ff2828-b196-493e-abe5-885e907f3b7f,84,0,144269,1,4,Average Customers
94b3153f-cc9d-4a55-8a2e-742a6555c537,33,0,109638,49,0,High Value
fe2f4101-90dc-4df1-b9dd-14d553d1e389,89,0,88161,50,4,Average Customers
644db267-9082-4c42-b02d-fad5bf30d735,35,0,182663,68,3,Savers
5bd39ccd-30fc-4598-818a-770632bb7729,89,0,91139,59,4,Average Customers
29ca88b2-fc25-4417-93f4-823d9d8ac2dc,40,1,180570,23,2,Young Spenders
8640e224-9096-4a13-a32e-662b3d1504c1,69,0,57994,35,4,Average Customers
2f971837-3a6e-4928-8a41-d0d8b4b87af8,88,0,172761,69,4,Average Customers
0dbead2b-6caa-4e05-b2de-e5f81b373a4a,34,0,38774,84,3,Savers
1a1b53ef-065d-4333-930a-760ee0908394,88,1,80079,9,2,Young Spenders
4afae204-64df-458a-970e-9fb503bd5b00,61,0,23888,59,3,Savers
4e3f3a44-cfcf-4c9c-b93d-9b00d654880d,60,0,189867,98,3,Savers
9033d3aa-ff53-4145-b47a-750c07f58dee,78,0,23342,91,3,Savers
b35f3089-a257-45eb-ae52-c78e2c266374,35,0,76836,29,0,High Value
206ad996-8643-4336-a3f1-6891e7cd470d,53,1,170065,28,2,Young Spenders
880df93e-6bc1-42bd-bd6a-e2b8d499b710,33,1,99420,64,1,Budget Shoppers
a2c7ef2d-cecc-4a3f-b2ac-6ebf6595ad62,86,1,174987,71,1,Budget Shoppers
896b6076-0e1c-40d4-aab7-336a4592610c,90,0,117976,85,3,Savers
2392d7fa-9489-42aa-b50b-36f66ee9b423,84,1,74475,54,1,Budget Shoppers
2f4cb703-e5c1-48f3-9a89-3615b31e20f1,54,0,103099,49,0,High Value
bb047494-340f-4cb0-b88f-e4c8148eb2ae,20,1,188784,21,2,Young Spenders
7235955d-eca0-4fd9-861a-7042691e3d5e,86,0,28187,37,4,Average Customers
836d7eca-db4b-4c3c-8d6a-a771b070551a,73,0,145465,54,4,Average Customers
45d9a060-39e1-4b67-8189-8dbba0d91767,35,0,120472,94,3,Savers
d11ba8ac-69f6-4fb2-bc56-abb52d4966fc,88,0,37300,4,4,Average Customers
ad5f7b6f-aef3-4867-87e1-f862a6519ce3,54,0,113062,65,3,Savers
12da3593-4e95-4272-9553-1fc6e36e47cc,19,1,150107,61,1,Budget Shoppers
7c10963a-9c61-4f57-b314-e147b63d70e8,84,1,22452,48,2,Young Spenders
a2257473-45d0-42f6-9207-cbdcfb76515a,60,0,42834,32,4,Average Customers
ea98c611-5bb3-4855-b79e-04be0cd0f179,39,0,81494,66,3,Savers
80149259-8ffe-43f2-9016-ad52dc3e5443,85,0,59981,38,4,Average Customers
113e23b5-5cae-4357-8b9d-776c81842ae6,60,0,91707,89,3,Savers
24c83f90-919a-4b1d-9a89-d9a09b167951,85,1,31207,51,2,Young Spenders
31b0ef92-f4dc-4bfd-bb88-fc8ba17d15b3,82,0,160112,44,4,Average Customers
d44d49f5-41d5-4588-b27f-0fed752e5a8e,44,1,199826,4,2,Young Spenders
a51e2948-955c-4f67-9a32-a22dd3e3798f,48,1,124952,1,2,Young Spenders
29b970a5-f3b9-4adc-a32c-4e6c47292284,21,0,42522,48,0,High Value
42661bdc-2936-4e2c-827c-44abf525d1ed,87,1,54581,94,1,Budget Shoppers
45d48162-ec3e-49aa-a8fb-bd41df8f113b,41,1,68045,37,2,Young Spenders
705ace34-543a-4cdb-956b-c06f6eb33a4d,52,0,141101,30,0,High Value
a465c323-1e47-44d1-a869-a105745034b2,76,0,74629,27,4,Average Customers
9c3be039-ea90-42a6-87c5-7175356cf8aa,72,0,70373,4,4,Average Customers
bf9aa1fc-9517-4cd5-8f27-ff4978267df4,67,1,22820,19,2,Young Spenders
5e562023-f971-41bf-a7e3-a82bf894155b,32,0,83620,77,3,Savers
82737042-63a8-49f4-b8d9-338cfef4dd03,71,0,96598,33,4,Average Customers
b14041ef-0432-438e-8737-e30c31b391af,38,1,55259,53,1,Budget Shoppers
b9b58bf2-a4ca-4254-b61e-1db5d7adc35b,57,0,26527,59,3,Savers
7f57a91c-2edc-4f2c-ad13-835eeab36336,80,1,152277,50,2,Young Spenders
a2510f77-4414-4a52-9632-3e6ecd05165b,60,1,150622,51,1,Budget Shoppers
4cb3f773-9193-401a-b091-4f4eccc0d7c2,53,1,177668,26,2,Young Spenders
6614b886-287a-4a0e-b48c-82d49f977d97,84,0,138972,90,3,Savers
08568a01-b6c5-47b7-a64b-81822fc84c88,26,1,52463,75,1,Budget Shoppers
8f9a7106-5e73-4627-98af-f49939ed8b15,34,0,139068,63,0,High Value
ce649a2a-76c4-49c2-bb2a-6c1c5d475264,67,0,193657,23,4,Average Customers
b487d49f-6321-4873-9b5a-4fa413f01e0f,31,0,154450,38,0,High Value
3cc5c19d-687c-4698-be67-dd74ebd83432,81,0,116964,89,3,Savers
ad11524c-2b5b-450f-bfeb-8937c257649a,67,1,122895,41,2,Young Spenders
2f092cee-3d08-489f-921e-1dfaa81ba6b8,32,0,176367,2,0,High Value
c17d862a-d452-483e-98db-abebf2a59c4d,32,0,118656,21,0,High Value
1e92ab44-1bba-41fc-a777-d52c72924ed2,81,1,68370,93,1,Budget Shoppers
7ac29936-0673-49c8-b7d5-b760ca75cee0,77,1,105926,7,2,Young Spenders
746683ed-cdeb-427b-89ad-5c61f76e5b44,27,0,124703,17,0,High Value
5ace7e9f-f02d-4c07-b0cc-ba3ff524565d,59,0,147027,49,4,Average Customers
8149aac3-bc36-438a-ab77-4a7b6583633f,37,0,110855,1,0,High Value
20e9a636-f643-4017-8a0d-3ce805d7b7c1,47,1,70702,66,1,Budget Shoppers
86cc129e-2e37-4d6f-886d-76030c177dfe,28,1,82523,10,2,Young Spenders
e98c5f4a-b9a8-45bd-8482-44fbc183dc1b,63,1,42330,88,1,Budget Shoppers
da000695-9784-4a92-af48-5d689ee890e9,18,1,178560,90,1,Budget Shoppers
39a12692-e72f-4a0f-bd56-7cb781f7b6d7,55,1,129907,39,2,Young Spenders
3b514d1a-485b-4fce-83bd-b9a58dceb229,46,0,134580,1,0,High Value
a42124cc-e365-4043-a41f-213589b4e7be,72,0,107376,38,4,Average Customers
a3dd05ac-dd9c-401e-9831-f831c85c67e8,78,0,125187,95,3,Savers
9d9766aa-f74f-40dc-8f57-8725faea0047,62,1,186372,61,1,Budget Shoppers
c60bd59f-b270-4f04-aa4c-89ee267dba18,60,0,127462,31,4,Average Customers
9807af68-f1f5-4a80-94ff-aacafee303dd,76,0,74630,37,4,Average Customers
da1e6e16-b189-46cc-ba61-91f6ee561561,32,1,95027,5,2,Young Spenders
d4d2ae0f-ed77-46e1-8647-21bdce205458,77,0,126515,52,4,Average Customers
1b8ce4c9-6432-40c5-8ced-0e788b54d930,56,1,166446,89,1,Budget Shoppers
98b624bf-578f-4bf0-ab23-16a1e052919a,64,1,158708,2,2,Young Spenders
a3b537d5-a1ac-4d91-814d-2a7fec102c81,67,0,120643,87,3,Savers
5b5ce678-7380-4394-9026-2de0f63d5968,52,1,57458,35,2,Young Spenders
9afc5697-6b05-44ce-b69c-a9c72a475173,58,0,29260,83,3,Savers
bd02bf04-5336-4472-8b51-195741474110,50,1,190730,46,2,Young Spenders
fe29db65-654a-4b03-9ded-647b04b23e31,54,0,184263,13,4,Average Customers
01dd3ddf-f994-4b83-81a5-67fff8ea7c0f,23,1,142365,37,2,Young Spenders
864add3b-a2df-41ae-8ecf-3df893ff3820,59,1,193543,47,2,Young Spenders
67daafbe-c602-46ef-b49c-7d09fa737824,22,0,129465,92,3,Savers
0676e9d4-fa17-4af6-aae4-eaf61853e288,77,1,65179,75,1,Budget Shoppers
9e2d5902-4743-49f8-a999-80179e122ef5,53,1,30343,26,2,Young Spenders
bdec8ee7-d49b-4dcd-9312-23e4c7acb6ab,46,0,38876,73,3,Savers
