Year,Factory_Name,Product,Unity,Month,Quantity
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Small cheese,Kg,Jan,422
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Cheese,Kg,Jan,17711
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Cream,Kg,Jan,3525
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Butter,Kg,Jan,5426
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Powdered whey,Kg,Jan,0
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Condensed milk,Kg,Jan,0
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Sweetened condensed milk,Kg,Jan,0
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Modified milk,Kg,Jan,0
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Evaporated milk,Kg,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Received milk volume,Lts,Jan,85184
2002,CAMPO LINDO - Río Negro (Los Lagos),Pasteurized milk 3.0% mg,Lts,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Pasteurized milk 2.5% mg,Lts,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Skimmed pasteurized milk,Lts,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Sterilized whole milk,Lts,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Sterilized semi-skimmed milk,Lts,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Sterilized skimmed milk,Lts,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Flavored sterilized milk,Lts,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Powdered milk 28% mg,Kg,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Powdered milk 26% mg,Kg,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Powdered milk 18% mg,Kg,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Powdered milk 20% mg,Kg,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Powdered milk 12% mg,Kg,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Skimmed powdered milk,Kg,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Total powdered milk,Kg,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Yogurt,Lts,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Cultured milk,Lts,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Small cheese,Kg,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Cheese,Kg,Jan,8112
2002,CAMPO LINDO - Río Negro (Los Lagos),Cream,Kg,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Butter,Kg,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Powdered whey,Kg,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Condensed milk,Kg,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Sweetened condensed milk,Kg,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Modified milk,Kg,Jan,0
2002,CAMPO LINDO - Río Negro (Los Lagos),Evaporated milk,Kg,Jan,0
2002,CHILOLAC - Ancud (Los Lagos),Received milk volume,Lts,Jan,3664500
2002,CHILOLAC - Ancud (Los Lagos),Pasteurized milk 3.0% mg,Lts,Jan,0
2002,CHILOLAC - Ancud (Los Lagos),Pasteurized milk 2.5% mg,Lts,Jan,4229
2002,CHILOLAC - Ancud (Los Lagos),Skimmed pasteurized milk,Lts,Jan,0
2002,CHILOLAC - Ancud (Los Lagos),Sterilized whole milk,Lts,Jan,0
2002,CHILOLAC - Ancud (Los Lagos),Sterilized semi-skimmed milk,Lts,Jan,0
2002,CHILOLAC - Ancud (Los Lagos),Sterilized skimmed milk,Lts,Jan,0
2002,CHILOLAC - Ancud (Los Lagos),Flavored sterilized milk,Lts,Jan,0
2002,CHILOLAC - Ancud (Los Lagos),Powdered milk 28% mg,Kg,Jan,0
2002,CHILOLAC - Ancud (Los Lagos),Powdered milk 26% mg,Kg,Jan,0
2002,CHILOLAC - Ancud (Los Lagos),Powdered milk 18% mg,Kg,Jan,0
2002,CHILOLAC - Ancud (Los Lagos),Powdered milk 20% mg,Kg,Jan,0
2002,CHILOLAC - Ancud (Los Lagos),Powdered milk 12% mg,Kg,Jan,0
2002,CHILOLAC - Ancud (Los Lagos),Skimmed powdered milk,Kg,Jan,0
2002,CHILOLAC - Ancud (Los Lagos),Total powdered milk,Kg,Jan,0
2002,CHILOLAC - Ancud (Los Lagos),Yogurt,Lts,Jan,44298
2002,CHILOLAC - Ancud (Los Lagos),Cultured milk,Lts,Jan,0
2002,CHILOLAC - Ancud (Los Lagos),Small cheese,Kg,Jan,0
2002,CHILOLAC - Ancud (Los Lagos),Cheese,Kg,Jan,418686
2002,CHILOLAC - Ancud (Los Lagos),Cream,Kg,Jan,159
2002,CHILOLAC - Ancud (Los Lagos),Butter,Kg,Jan,21117
2002,CHILOLAC - Ancud (Los Lagos),Powdered whey,Kg,Jan,0
2002,CHILOLAC - Ancud (Los Lagos),Condensed milk,Kg,Jan,0
2002,CHILOLAC - Ancud (Los Lagos),Sweetened condensed milk,Kg,Jan,6837
2002,CHILOLAC - Ancud (Los Lagos),Modified milk,Kg,Jan,0
2002,CHILOLAC - Ancud (Los Lagos),Evaporated milk,Kg,Jan,0
2002,COLUN - La Unión (Los Ríos),Received milk volume,Lts,Jan,24170730
2002,COLUN - La Unión (Los Ríos),Pasteurized milk 3.0% mg,Lts,Jan,115560
2002,COLUN - La Unión (Los Ríos),Pasteurized milk 2.5% mg,Lts,Jan,0
2002,COLUN - La Unión (Los Ríos),Skimmed pasteurized milk,Lts,Jan,0
2002,COLUN - La Unión (Los Ríos),Sterilized whole milk,Lts,Jan,1452166
2002,COLUN - La Unión (Los Ríos),Sterilized semi-skimmed milk,Lts,Jan,0
2002,COLUN - La Unión (Los Ríos),Sterilized skimmed milk,Lts,Jan,294138
2002,COLUN - La Unión (Los Ríos),Flavored sterilized milk,Lts,Jan,849854
2002,COLUN - La Unión (Los Ríos),Powdered milk 28% mg,Kg,Jan,0
2002,COLUN - La Unión (Los Ríos),Powdered milk 26% mg,Kg,Jan,477175
2002,COLUN - La Unión (Los Ríos),Powdered milk 18% mg,Kg,Jan,0
2002,COLUN - La Unión (Los Ríos),Powdered milk 20% mg,Kg,Jan,477175
2002,COLUN - La Unión (Los Ríos),Powdered milk 12% mg,Kg,Jan,0
2002,COLUN - La Unión (Los Ríos),Skimmed powdered milk,Kg,Jan,145075
2002,COLUN - La Unión (Los Ríos),Total powdered milk,Kg,Jan,622250
2002,COLUN - La Unión (Los Ríos),Yogurt,Lts,Jan,358288
2002,COLUN - La Unión (Los Ríos),Cultured milk,Lts,Jan,0
2002,COLUN - La Unión (Los Ríos),Small cheese,Kg,Jan,5902
2002,COLUN - La Unión (Los Ríos),Cheese,Kg,Jan,1581728
2002,COLUN - La Unión (Los Ríos),Cream,Kg,Jan,130126
2002,COLUN - La Unión (Los Ríos),Butter,Kg,Jan,248502
2002,COLUN - La Unión (Los Ríos),Powdered whey,Kg,Jan,700525
2002,COLUN - La Unión (Los Ríos),Condensed milk,Kg,Jan,0
2002,COLUN - La Unión (Los Ríos),Sweetened condensed milk,Kg,Jan,337297
2002,COLUN - La Unión (Los Ríos),Modified milk,Kg,Jan,0
2002,COLUN - La Unión (Los Ríos),Evaporated milk,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Received milk volume,Lts,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Pasteurized milk 3.0% mg,Lts,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Pasteurized milk 2.5% mg,Lts,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Skimmed pasteurized milk,Lts,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Sterilized whole milk,Lts,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Sterilized semi-skimmed milk,Lts,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Sterilized skimmed milk,Lts,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Flavored sterilized milk,Lts,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Powdered milk 28% mg,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Powdered milk 26% mg,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Powdered milk 18% mg,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Powdered milk 20% mg,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Powdered milk 12% mg,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Skimmed powdered milk,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Total powdered milk,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Yogurt,Lts,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Cultured milk,Lts,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Small cheese,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Cheese,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Cream,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Butter,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Powdered whey,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Condensed milk,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Sweetened condensed milk,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Modified milk,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Biobío),Evaporated milk,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Received milk volume,Lts,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Pasteurized milk 3.0% mg,Lts,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Pasteurized milk 2.5% mg,Lts,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Skimmed pasteurized milk,Lts,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Sterilized whole milk,Lts,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Sterilized semi-skimmed milk,Lts,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Sterilized skimmed milk,Lts,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Flavored sterilized milk,Lts,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Powdered milk 28% mg,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Powdered milk 26% mg,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Powdered milk 18% mg,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Powdered milk 20% mg,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Powdered milk 12% mg,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Skimmed powdered milk,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Total powdered milk,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Yogurt,Lts,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Cultured milk,Lts,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Small cheese,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Cheese,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Cream,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Butter,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Powdered whey,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Condensed milk,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Sweetened condensed milk,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Modified milk,Kg,Jan,0
2002,COMERCIAL DEL CAMPO S.A. - Bulnes (Ñuble),Evaporated milk,Kg,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Received milk volume,Lts,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Pasteurized milk 3.0% mg,Lts,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Pasteurized milk 2.5% mg,Lts,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Skimmed pasteurized milk,Lts,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Sterilized whole milk,Lts,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Sterilized semi-skimmed milk,Lts,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Sterilized skimmed milk,Lts,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Flavored sterilized milk,Lts,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Powdered milk 28% mg,Kg,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Powdered milk 26% mg,Kg,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Powdered milk 18% mg,Kg,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Powdered milk 20% mg,Kg,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Powdered milk 12% mg,Kg,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Skimmed powdered milk,Kg,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Total powdered milk,Kg,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Yogurt,Lts,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Cultured milk,Lts,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Small cheese,Kg,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Cheese,Kg,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Cream,Kg,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Butter,Kg,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Powdered whey,Kg,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Condensed milk,Kg,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Sweetened condensed milk,Kg,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Modified milk,Kg,Jan,0
2002,GRANAROLO CHILE SPA - Los Angeles (Biobío),Evaporated milk,Kg,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Received milk volume,Lts,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Pasteurized milk 3.0% mg,Lts,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Pasteurized milk 2.5% mg,Lts,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Skimmed pasteurized milk,Lts,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Sterilized whole milk,Lts,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Sterilized semi-skimmed milk,Lts,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Sterilized skimmed milk,Lts,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Flavored sterilized milk,Lts,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Powdered milk 28% mg,Kg,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Powdered milk 26% mg,Kg,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Powdered milk 18% mg,Kg,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Powdered milk 20% mg,Kg,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Powdered milk 12% mg,Kg,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Skimmed powdered milk,Kg,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Total powdered milk,Kg,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Yogurt,Lts,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Cultured milk,Lts,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Small cheese,Kg,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Cheese,Kg,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Cream,Kg,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Butter,Kg,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Powdered whey,Kg,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Condensed milk,Kg,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Sweetened condensed milk,Kg,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Modified milk,Kg,Jan,0
2002,INVERSIONES E INDUSTRIAS VALLE VERDE S.A. - Osorno (Los Lagos),Evaporated milk,Kg,Jan,0
2002,LACTALIS - Osorno (Los Lagos),Received milk volume,Lts,Jan,5753691
2002,LACTALIS - Osorno (Los Lagos),Pasteurized milk 3.0% mg,Lts,Jan,0
2002,LACTALIS - Osorno (Los Lagos),Pasteurized milk 2.5% mg,Lts,Jan,0
2002,LACTALIS - Osorno (Los Lagos),Skimmed pasteurized milk,Lts,Jan,0
2002,LACTALIS - Osorno (Los Lagos),Sterilized whole milk,Lts,Jan,0
2002,LACTALIS - Osorno (Los Lagos),Sterilized semi-skimmed milk,Lts,Jan,0
2002,LACTALIS - Osorno (Los Lagos),Sterilized skimmed milk,Lts,Jan,0
2002,LACTALIS - Osorno (Los Lagos),Flavored sterilized milk,Lts,Jan,0
2002,LACTALIS - Osorno (Los Lagos),Powdered milk 28% mg,Kg,Jan,0
2002,LACTALIS - Osorno (Los Lagos),Powdered milk 26% mg,Kg,Jan,10075
2002,LACTALIS - Osorno (Los Lagos),Powdered milk 18% mg,Kg,Jan,0
2002,LACTALIS - Osorno (Los Lagos),Powdered milk 20% mg,Kg,Jan,10075
2002,LACTALIS - Osorno (Los Lagos),Powdered milk 12% mg,Kg,Jan,0
2002,LACTALIS - Osorno (Los Lagos),Skimmed powdered milk,Kg,Jan,123325
2002,LACTALIS - Osorno (Los Lagos),Total powdered milk,Kg,Jan,133400
2002,LACTALIS - Osorno (Los Lagos),Yogurt,Lts,Jan,0
2002,LACTALIS - Osorno (Los Lagos),Cultured milk,Lts,Jan,0
2002,LACTALIS - Osorno (Los Lagos),Small cheese,Kg,Jan,0
2002,LACTALIS - Osorno (Los Lagos),Cheese,Kg,Jan,402494
2002,LACTALIS - Osorno (Los Lagos),Cream,Kg,Jan,0
2002,LACTALIS - Osorno (Los Lagos),Butter,Kg,Jan,10254
2002,LACTALIS - Osorno (Los Lagos),Powdered whey,Kg,Jan,278450
2002,LACTALIS - Osorno (Los Lagos),Condensed milk,Kg,Jan,0
2002,LACTALIS - Osorno (Los Lagos),Sweetened condensed milk,Kg,Jan,0
2002,LACTALIS - Osorno (Los Lagos),Modified milk,Kg,Jan,0
2002,LACTALIS - Osorno (Los Lagos),Evaporated milk,Kg,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Received milk volume,Lts,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Pasteurized milk 3.0% mg,Lts,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Pasteurized milk 2.5% mg,Lts,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Skimmed pasteurized milk,Lts,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Sterilized whole milk,Lts,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Sterilized semi-skimmed milk,Lts,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Sterilized skimmed milk,Lts,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Flavored sterilized milk,Lts,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Powdered milk 28% mg,Kg,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Powdered milk 26% mg,Kg,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Powdered milk 18% mg,Kg,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Powdered milk 20% mg,Kg,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Powdered milk 12% mg,Kg,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Skimmed powdered milk,Kg,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Total powdered milk,Kg,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Yogurt,Lts,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Cultured milk,Lts,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Small cheese,Kg,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Cheese,Kg,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Cream,Kg,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Butter,Kg,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Powdered whey,Kg,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Condensed milk,Kg,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Sweetened condensed milk,Kg,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Modified milk,Kg,Jan,0
2002,LACTALIS - Río Bueno (Los Ríos),Evaporated milk,Kg,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Received milk volume,Lts,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Pasteurized milk 3.0% mg,Lts,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Pasteurized milk 2.5% mg,Lts,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Skimmed pasteurized milk,Lts,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Sterilized whole milk,Lts,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Sterilized semi-skimmed milk,Lts,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Sterilized skimmed milk,Lts,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Flavored sterilized milk,Lts,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Powdered milk 28% mg,Kg,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Powdered milk 26% mg,Kg,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Powdered milk 18% mg,Kg,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Powdered milk 20% mg,Kg,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Powdered milk 12% mg,Kg,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Skimmed powdered milk,Kg,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Total powdered milk,Kg,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Yogurt,Lts,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Cultured milk,Lts,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Small cheese,Kg,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Cheese,Kg,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Cream,Kg,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Butter,Kg,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Powdered whey,Kg,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Condensed milk,Kg,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Sweetened condensed milk,Kg,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Modified milk,Kg,Jan,0
2002,LACTALIS - Purranque (Los Lagos),Evaporated milk,Kg,Jan,0
2002,LACTALIS - Melipilla (Metropolitana),Received milk volume,Lts,Jan,0
