customer_id,business_type,location,annual_revenue,order_frequency,total_quantity_purchased,product,quantity
110,Wholesaler,Mbale,35012723,2,4371,Flavored Milk,85
111,Retailer,Mbarara,59183558,5,4778,Cream,53
112,Wholesaler,Mbarara,21230649,7,5690,Milk,44
113,Retailer,Mbarara,62600146,13,3460,Cheese,177
114,Retailer,Kampala,58902681,2,1408,Butter,54
115,Wholesaler,Gulu,70458523,3,9446,Flavored Milk,197
116,Retailer,Mbarara,37851197,9,587,Yogurt,133
117,Wholesaler,Kampala,66686158,10,3918,Butter,125
118,Retailer,Mbale,72269965,13,4626,Butter,133
119,Retailer,Jinja,41254895,13,4575,Milk,147
120,Wholesaler,Kampala,52630460,5,3633,Milk,56
121,Retailer,Jinja,22615610,7,7948,Flavored Milk,161
122,Wholesaler,Mbarara,67241165,17,1400,Yogurt,194
123,Retailer,Mbarara,27631985,15,9186,Butter,27
124,Wholesaler,Kampala,5469596,5,3906,Flavored Milk,194
125,Wholesaler,Jinja,39687867,7,2675,Powder Milk,81
126,Retailer,Mbarara,37072501,2,4357,Yogurt,132
127,Retailer,Mbale,16580293,18,9092,Flavored Milk,183
128,Wholesaler,Gulu,26801691,10,2975,Butter,180
129,Retailer,Gulu,17883789,1,9237,Flavored Milk,86
130,Retailer,Mbarara,57998477,14,6764,Milk,153
131,Retailer,Jinja,34520915,19,7247,Milk,151
132,Wholesaler,Mbarara,63366156,16,6056,Cheese,18
133,Wholesaler,Jinja,85535130,19,8591,Yogurt,78
134,Wholesaler,Mbale,58926843,6,1587,Powder Milk,70
135,Wholesaler,Jinja,7114732,12,2778,Butter,20
136,Wholesaler,Mbarara,17960956,3,7431,Yogurt,156
137,Wholesaler,Mbale,27279169,7,4396,Milk,73
138,Wholesaler,Kampala,38777512,3,2416,Powder Milk,47
139,Wholesaler,Gulu,42103983,17,7078,Butter,19
140,Wholesaler,Mbarara,79007063,15,6918,Cheese,25
141,Retailer,Mbarara,94503644,19,3925,Milk,78
142,Wholesaler,Mbarara,41028268,19,6091,Milk,51
143,Retailer,Mbale,79394179,11,3651,Powder Milk,53
144,Retailer,Kampala,91650561,2,4224,Yogurt,190
145,Retailer,Jinja,55263635,7,973,Cream,172
146,Wholesaler,Kampala,62426869,19,668,Flavored Milk,173
147,Wholesaler,Mbale,74676468,7,4450,Cream,159
148,Wholesaler,Mbarara,18143868,10,6392,Yogurt,33
149,Wholesaler,Gulu,47741417,12,3353,Milk,149
150,Retailer,Mbarara,57475326,18,9289,Yogurt,44
151,Wholesaler,Jinja,83166629,6,9940,Flavored Milk,59
152,Wholesaler,Gulu,16986978,8,5630,Cheese,92
153,Wholesaler,Mbarara,94885490,5,7650,Butter,87
154,Wholesaler,Gulu,8360966,3,8172,Milk,49
155,Wholesaler,Kampala,45355628,2,132,Yogurt,31
156,Retailer,Mbale,79686540,6,142,Milk,184
157,Wholesaler,Mbarara,8498352,7,6810,Butter,84
158,Retailer,Jinja,23307904,8,7425,Yogurt,75
159,Wholesaler,Kampala,66551117,4,7887,Cheese,147
160,Retailer,Mbarara,8281401,12,6774,Butter,180
161,Wholesaler,Kampala,50209152,12,3098,Flavored Milk,103
162,Wholesaler,Jinja,87855343,17,1517,Flavored Milk,162
163,Retailer,Mbarara,47780809,19,5539,Milk,119
164,Retailer,Jinja,99805260,9,2748,Flavored Milk,56
165,Retailer,Gulu,23894563,12,9033,Yogurt,144
166,Wholesaler,Jinja,84064264,17,525,Flavored Milk,113
167,Retailer,Gulu,43362253,10,8745,Cheese,165
168,Wholesaler,Mbarara,53085603,19,280,Powder Milk,89
169,Wholesaler,Gulu,96486887,11,7071,Yogurt,54
170,Retailer,Mbarara,84531618,13,9828,Powder Milk,110
171,Retailer,Mbarara,98616966,4,6883,Milk,21
172,Wholesaler,Mbale,57169641,15,2306,Milk,92
173,Wholesaler,Mbarara,25771170,12,4020,Cream,122
174,Retailer,Gulu,21820801,10,4888,Flavored Milk,20
175,Retailer,Mbale,27235982,7,433,Flavored Milk,140
176,Retailer,Mbale,93382792,2,810,Milk,70
177,Wholesaler,Mbarara,11717998,7,5293,Yogurt,65
178,Wholesaler,Jinja,53057168,8,4002,Butter,131
179,Wholesaler,Jinja,82522813,19,992,Milk,35
180,Wholesaler,Mbale,67274867,6,2745,Cream,95
181,Wholesaler,Mbarara,70554065,8,1346,Cheese,43
182,Wholesaler,Jinja,15089617,4,2197,Yogurt,192
183,Retailer,Mbarara,87662551,9,6924,Butter,153
184,Wholesaler,Mbarara,73036374,5,9881,Cream,176
185,Wholesaler,Mbale,85025739,6,4446,Cream,143
186,Wholesaler,Mbale,69332438,19,658,Butter,119
187,Retailer,Kampala,22215508,12,931,Cream,81
188,Wholesaler,Jinja,56580157,5,7366,Yogurt,189
189,Wholesaler,Jinja,12043135,5,4941,Milk,162
190,Retailer,Jinja,54024071,18,6530,Butter,65
191,Wholesaler,Gulu,89642781,6,7555,Cheese,92
192,Wholesaler,Mbarara,29522881,9,2044,Powder Milk,156
193,Wholesaler,Mbale,61785476,11,1373,Yogurt,102
194,Wholesaler,Jinja,98033027,14,7818,Flavored Milk,164
195,Wholesaler,Kampala,6361349,2,1061,Powder Milk,142
196,Retailer,Jinja,46315286,14,6953,Milk,35
197,Retailer,Mbarara,23389996,19,738,Cream,167
198,Retailer,Mbarara,49834175,10,4118,Yogurt,87
199,Wholesaler,Mbale,78384042,5,9484,Cheese,106
200,Wholesaler,Gulu,22140332,4,3497,Powder Milk,172
201,Wholesaler,Mbale,71772070,7,7947,Powder Milk,84
202,Retailer,Jinja,21237708,13,7305,Butter,190
203,Wholesaler,Kampala,7472512,10,8125,Milk,125
204,Wholesaler,Mbale,35214342,10,8682,Milk,170
205,Retailer,Gulu,78727855,4,9466,Yogurt,79
206,Wholesaler,Mbale,44445146,16,2512,Yogurt,165
207,Retailer,Mbarara,84554638,15,5173,Cheese,45
208,Retailer,Jinja,39142131,11,4228,Cream,58
209,Retailer,Jinja,39319229,19,6199,Cream,62
210,Wholesaler,Jinja,50161953,3,1802,Flavored Milk,139
211,Wholesaler,Jinja,34344255,15,4679,Yogurt,89
212,Wholesaler,Jinja,18082873,16,5966,Powder Milk,80
213,Wholesaler,Jinja,78007992,14,4596,Yogurt,30
214,Wholesaler,Kampala,75967087,5,3409,Yogurt,44
215,Wholesaler,Gulu,56409648,17,5063,Cream,183
216,Wholesaler,Jinja,83684759,18,7654,Cheese,95
217,Retailer,Gulu,60036878,19,4064,Butter,124
218,Wholesaler,Jinja,22025506,1,949,Flavored Milk,185
219,Retailer,Mbale,65042051,9,1239,Cheese,31
220,Wholesaler,Jinja,87204843,14,702,Yogurt,143
221,Wholesaler,Mbarara,13043364,11,8046,Butter,129
222,Wholesaler,Kampala,34632222,2,1032,Yogurt,170
223,Retailer,Mbale,92692581,5,625,Cheese,48
224,Retailer,Mbale,41173621,15,8574,Milk,52
225,Retailer,Mbarara,11358234,12,4357,Yogurt,162
226,Retailer,Jinja,65245893,14,8530,Cream,155
227,Wholesaler,Kampala,42058611,11,6803,Butter,50
228,Retailer,Mbale,81376078,9,7790,Flavored Milk,137
229,Wholesaler,Kampala,70572163,8,1105,Milk,127
230,Wholesaler,Mbale,73207032,12,6076,Yogurt,44
231,Retailer,Jinja,32481199,3,4419,Yogurt,33
232,Retailer,Mbale,81734453,15,1374,Butter,192
233,Retailer,Mbale,41183911,8,3645,Cream,113
234,Retailer,Gulu,57568070,7,3877,Cream,49
235,Retailer,Jinja,82760050,17,2373,Milk,96
236,Retailer,Mbarara,27790969,12,1932,Milk,38
237,Retailer,Mbarara,60840496,18,1203,Milk,147
238,Retailer,Jinja,32051252,18,3420,Yogurt,88
239,Wholesaler,Mbarara,90986668,15,8338,Milk,147
240,Retailer,Jinja,29735086,3,326,Yogurt,73
241,Retailer,Mbarara,93776601,19,5454,Yogurt,126
242,Wholesaler,Gulu,12356089,15,5342,Powder Milk,166
243,Retailer,Mbarara,9719902,16,8573,Milk,107
244,Wholesaler,Mbale,27799372,17,4248,Cheese,155
245,Wholesaler,Jinja,8736029,1,3746,Cream,139
246,Retailer,Kampala,22623670,11,3252,Flavored Milk,162
247,Wholesaler,Kampala,94794188,6,2136,Flavored Milk,94
248,Wholesaler,Jinja,57971634,9,356,Cheese,60
249,Wholesaler,Gulu,35507516,16,933,Milk,104
250,Wholesaler,Mbarara,43795320,6,6713,Yogurt,31
251,Retailer,Gulu,7654589,12,6239,Butter,18
252,Wholesaler,Kampala,37498844,19,4339,Cheese,100
253,Retailer,Jinja,71436023,13,3639,Flavored Milk,98
254,Wholesaler,Jinja,58675829,13,3691,Flavored Milk,98
255,Wholesaler,Gulu,37136324,4,7386,Yogurt,83
256,Wholesaler,Gulu,12632034,9,5158,Flavored Milk,103
257,Wholesaler,Mbarara,60619858,14,2212,Flavored Milk,132
258,Retailer,Mbale,73936780,14,6759,Yogurt,141
259,Retailer,Mbale,12694379,17,5217,Milk,158
260,Wholesaler,Mbarara,37334141,5,3191,Cream,133
261,Wholesaler,Mbale,68050261,19,6181,Powder Milk,39
262,Retailer,Kampala,49045896,2,4653,Cream,170
263,Wholesaler,Mbale,81678896,13,204,Flavored Milk,52
264,Wholesaler,Mbarara,22939324,11,3680,Powder Milk,11
265,Wholesaler,Mbale,28135452,2,8702,Powder Milk,96
266,Retailer,Jinja,24793205,1,1446,Milk,168
267,Retailer,Gulu,77552021,3,9032,Butter,141
268,Retailer,Kampala,71012336,12,6847,Milk,56
269,Wholesaler,Jinja,88082459,7,6644,Yogurt,93
270,Wholesaler,Jinja,79766373,1,3759,Yogurt,98
271,Retailer,Mbarara,81180109,9,1917,Yogurt,54
272,Retailer,Gulu,96932078,18,9930,Flavored Milk,74
273,Retailer,Gulu,91221640,6,626,Cheese,15
274,Retailer,Kampala,97888869,9,7313,Flavored Milk,16
275,Wholesaler,Mbarara,48739583,8,3814,Milk,188
276,Retailer,Kampala,99172654,18,8603,Butter,27
277,Wholesaler,Mbale,32138731,15,506,Butter,128
278,Retailer,Jinja,43828156,1,3611,Butter,50
279,Wholesaler,Kampala,84520832,14,3160,Powder Milk,116
280,Retailer,Jinja,31739480,18,3579,Butter,78
281,Retailer,Mbarara,22210127,19,4957,Powder Milk,34
282,Retailer,Mbale,40035361,19,5018,Cheese,65
283,Retailer,Mbarara,11244994,10,8591,Cream,10
284,Wholesaler,Mbale,59303440,6,4597,Butter,192
285,Retailer,Mbale,25615094,17,4133,Powder Milk,140
286,Wholesaler,Jinja,87830716,14,158,Flavored Milk,63
287,Wholesaler,Mbarara,44143024,13,7801,Butter,90
288,Wholesaler,Mbarara,29902387,8,1281,Yogurt,169
289,Wholesaler,Kampala,58422848,10,626,Milk,139
290,Retailer,Mbarara,8714886,9,290,Flavored Milk,17
291,Wholesaler,Kampala,24657945,5,7616,Cheese,118
292,Wholesaler,Gulu,60622638,4,5859,Flavored Milk,195
293,Wholesaler,Gulu,48887462,6,6771,Yogurt,62
294,Retailer,Gulu,50612306,6,420,Butter,53
295,Retailer,Mbarara,18243443,13,6104,Butter,37
296,Retailer,Mbarara,9334965,4,147,Cheese,156
297,Retailer,Kampala,54762060,8,5656,Cream,193
298,Wholesaler,Mbale,86148505,5,8206,Milk,157
299,Wholesaler,Kampala,65056664,2,9737,Butter,193
300,Retailer,Gulu,7890632,9,2505,Powder Milk,44
301,Wholesaler,Kampala,14721896,11,3496,Cheese,156
302,Wholesaler,Mbale,33146991,11,9647,Cream,113
303,Wholesaler,Mbarara,91975755,7,4861,Cream,72
304,Retailer,Kampala,74616777,14,7877,Cream,91
305,Retailer,Gulu,9146181,6,2741,Butter,16
306,Wholesaler,Gulu,80591921,4,1022,Powder Milk,164
307,Retailer,Mbarara,9188851,6,9754,Cream,48
308,Retailer,Kampala,54806120,3,7856,Flavored Milk,39
309,Retailer,Mbale,42913554,6,2973,Cheese,32
310,Retailer,Mbarara,18509125,3,5051,Cheese,93
311,Retailer,Kampala,54570574,1,858,Cheese,160
312,Wholesaler,Jinja,76417232,18,7526,Butter,56
313,Retailer,Gulu,42497615,4,6013,Cheese,185
314,Wholesaler,Mbale,93700059,6,5985,Flavored Milk,104
315,Wholesaler,Mbale,91667348,17,4280,Milk,72
316,Retailer,Mbale,61555207,18,377,Milk,129
317,Wholesaler,Gulu,16452553,6,732,Yogurt,146
318,Wholesaler,Kampala,30252552,2,173,Flavored Milk,160
319,Wholesaler,Mbarara,10421211,12,803,Flavored Milk,126
320,Retailer,Kampala,61248727,12,8164,Cheese,184
321,Retailer,Mbarara,70825554,4,1656,Cream,96
322,Wholesaler,Mbale,29109635,16,6575,Yogurt,83
323,Retailer,Kampala,38828023,10,3628,Powder Milk,75
324,Retailer,Mbale,7183721,10,4716,Powder Milk,46
325,Retailer,Jinja,72346827,7,7258,Flavored Milk,134
326,Retailer,Mbale,92914134,14,9710,Flavored Milk,175
327,Wholesaler,Mbale,32014739,7,2895,Flavored Milk,10
328,Wholesaler,Mbarara,71081925,12,2988,Butter,185
329,Retailer,Jinja,45539444,11,6369,Flavored Milk,91
330,Retailer,Mbale,93830761,17,2477,Powder Milk,44
331,Wholesaler,Mbale,69191425,11,8406,Butter,80
332,Wholesaler,Jinja,38163805,3,9751,Cream,117
333,Retailer,Jinja,90724122,19,8206,Powder Milk,95
334,Wholesaler,Kampala,86920169,4,6957,Flavored Milk,190
335,Retailer,Mbarara,97802391,8,7782,Cream,34
336,Retailer,Jinja,83073328,14,5936,Powder Milk,51
337,Wholesaler,Jinja,99186640,14,9442,Milk,160
338,Wholesaler,Gulu,31348956,16,5218,Cream,18
339,Retailer,Jinja,44113443,15,3331,Butter,164
340,Retailer,Mbarara,32281201,12,8860,Cream,60
341,Wholesaler,Mbale,71140747,16,2762,Butter,66
342,Retailer,Mbale,6765040,19,5004,Cream,91
343,Wholesaler,Mbale,74489096,5,3773,Cheese,173
344,Retailer,Mbale,33265426,12,1736,Flavored Milk,171
345,Wholesaler,Gulu,47825005,5,7490,Yogurt,22
346,Wholesaler,Jinja,67430224,10,1656,Cream,192
347,Wholesaler,Mbale,35102887,17,9595,Yogurt,183
348,Retailer,Kampala,82251706,15,4289,Yogurt,189
349,Retailer,Mbale,37926332,8,8860,Yogurt,37
350,Wholesaler,Jinja,63097775,8,5153,Milk,95
351,Retailer,Mbale,83430800,8,8595,Yogurt,120
352,Wholesaler,Gulu,69125786,10,330,Powder Milk,167
353,Wholesaler,Mbarara,37848262,13,4982,Cheese,54
354,Retailer,Mbarara,48311091,16,3600,Yogurt,47
355,Retailer,Jinja,18199751,9,2009,Cheese,29
356,Wholesaler,Mbarara,21578887,16,439,Butter,106
357,Retailer,Mbarara,57521326,10,5233,Cream,184
358,Retailer,Kampala,97384053,3,3917,Powder Milk,111
359,Wholesaler,Jinja,72630155,14,4410,Flavored Milk,68
360,Wholesaler,Jinja,9640475,13,2103,Cream,151
361,Retailer,Mbarara,72208694,4,5058,Cream,51
362,Wholesaler,Mbarara,18344485,4,8409,Yogurt,198
363,Wholesaler,Mbarara,49009393,6,6366,Cheese,68
364,Retailer,Gulu,27848439,19,2216,Powder Milk,17
365,Wholesaler,Mbale,21074206,11,8156,Cheese,66
366,Wholesaler,Gulu,18544712,8,6322,Flavored Milk,159
367,Retailer,Jinja,39873453,14,236,Butter,111
368,Retailer,Kampala,60701394,8,5232,Yogurt,93
369,Wholesaler,Mbale,35640434,14,9539,Cheese,30
370,Wholesaler,Kampala,56483847,7,2695,Cream,137
371,Retailer,Jinja,33216259,18,1266,Yogurt,165
372,Retailer,Jinja,85252958,12,4677,Powder Milk,58
373,Retailer,Kampala,96043586,14,1255,Milk,160
374,Retailer,Kampala,97083538,15,6753,Cream,63
375,Wholesaler,Kampala,90481244,18,277,Cheese,160
376,Retailer,Jinja,55973961,12,2663,Butter,77
377,Retailer,Mbarara,96425419,10,2186,Powder Milk,55
378,Wholesaler,Kampala,80920173,12,7361,Flavored Milk,165
379,Retailer,Mbale,84550237,8,7008,Cheese,104
380,Wholesaler,Jinja,55004987,6,299,Milk,106
381,Retailer,Gulu,77469457,19,2322,Flavored Milk,59
382,Retailer,Gulu,66505239,1,6088,Butter,92
383,Retailer,Mbale,7670111,13,3068,Yogurt,72
384,Wholesaler,Mbarara,74586376,16,2265,Yogurt,19
385,Wholesaler,Kampala,59284078,18,2207,Cheese,98
386,Retailer,Jinja,37462935,12,1846,Flavored Milk,174
387,Wholesaler,Kampala,58072958,5,3294,Milk,150
388,Wholesaler,Jinja,32669890,13,8096,Milk,79
389,Wholesaler,Gulu,24644182,8,346,Butter,39
390,Wholesaler,Kampala,40461705,6,1977,Powder Milk,89
391,Wholesaler,Mbale,37152369,3,2306,Flavored Milk,81
392,Wholesaler,Mbarara,19691235,4,7471,Flavored Milk,148
393,Retailer,Mbale,84115899,12,5251,Yogurt,132
394,Retailer,Mbarara,69810252,13,1507,Cream,138
395,Wholesaler,Kampala,49090140,2,3596,Butter,155
396,Retailer,Kampala,83153637,19,7411,Butter,109
397,Retailer,Mbarara,97556282,4,3714,Powder Milk,20
398,Retailer,Gulu,44203828,13,9831,Butter,93
399,Retailer,Jinja,14300940,19,7704,Flavored Milk,147
400,Wholesaler,Mbale,7181752,8,145,Cream,185
401,Retailer,Mbale,47054355,8,3982,Yogurt,70
402,Retailer,Mbale,76191428,16,9601,Butter,147
403,Wholesaler,Kampala,43293139,11,6962,Yogurt,110
404,Wholesaler,Mbale,94740652,18,6190,Powder Milk,131
405,Retailer,Jinja,88272717,4,1789,Butter,69
406,Retailer,Jinja,8887239,1,1402,Flavored Milk,123
407,Retailer,Mbarara,22446191,1,4974,Yogurt,159
408,Retailer,Kampala,15072142,14,5807,Cheese,84
409,Retailer,Jinja,49082930,4,1592,Cream,108
410,Retailer,Gulu,72240917,11,5294,Powder Milk,18
411,Wholesaler,Kampala,35602657,18,880,Butter,152
412,Retailer,Kampala,10432561,16,1655,Flavored Milk,92
413,Retailer,Jinja,36937586,17,4695,Yogurt,46
414,Wholesaler,Gulu,93040167,2,7987,Milk,79
415,Wholesaler,Mbarara,53578306,4,6902,Flavored Milk,181
416,Wholesaler,Jinja,82416831,3,6566,Flavored Milk,140
417,Wholesaler,Gulu,61500598,15,271,Milk,19
418,Retailer,Kampala,10727961,2,4001,Milk,141
419,Retailer,Gulu,53746297,19,8772,Cream,65
420,Retailer,Kampala,10086588,9,6543,Cheese,177
421,Retailer,Jinja,27890439,10,9623,Cheese,42
422,Retailer,Jinja,15603376,19,4167,Cheese,170
423,Retailer,Mbale,24092790,5,5458,Flavored Milk,197
424,Wholesaler,Mbale,41474230,14,803,Cream,158
425,Retailer,Mbale,30354831,10,1238,Flavored Milk,112
426,Wholesaler,Jinja,7839593,16,7158,Flavored Milk,128
427,Wholesaler,Mbarara,37655881,6,7537,Cheese,54
428,Retailer,Jinja,77158008,8,8650,Yogurt,66
429,Wholesaler,Gulu,98394213,2,846,Cream,177
430,Retailer,Jinja,27245973,18,5195,Flavored Milk,135
431,Wholesaler,Jinja,37424048,8,6727,Flavored Milk,136
432,Retailer,Kampala,73170863,5,910,Flavored Milk,19
433,Wholesaler,Kampala,99672046,17,4221,Cheese,83
434,Retailer,Kampala,58126965,16,8225,Butter,75
435,Retailer,Jinja,42745965,5,415,Cheese,111
436,Retailer,Mbarara,76043011,17,1564,Butter,94
437,Retailer,Gulu,47006019,4,4986,Cheese,167
438,Retailer,Gulu,94952989,1,2984,Cream,91
439,Wholesaler,Mbarara,95261441,6,9825,Yogurt,44
440,Wholesaler,Mbarara,91047037,1,548,Yogurt,62
441,Wholesaler,Gulu,59645731,4,1419,Flavored Milk,176
442,Retailer,Mbale,73630740,2,9493,Cheese,121
443,Wholesaler,Kampala,99862975,13,8940,Butter,31
444,Retailer,Kampala,97638292,14,8166,Butter,76
445,Retailer,Gulu,53723459,17,8373,Yogurt,109
446,Wholesaler,Mbarara,43480960,11,5414,Flavored Milk,89
447,Wholesaler,Mbale,5396605,3,140,Cream,109
448,Retailer,Gulu,27138201,7,521,Butter,84
449,Wholesaler,Kampala,46018999,10,6134,Cheese,129
450,Retailer,Jinja,48584385,11,9507,Flavored Milk,26
451,Retailer,Mbarara,9793480,10,4532,Powder Milk,156
452,Retailer,Jinja,51737654,8,5176,Cheese,197
453,Retailer,Gulu,59069292,5,1161,Cheese,81
454,Retailer,Kampala,62330321,2,647,Yogurt,133
455,Wholesaler,Mbale,21710511,15,9149,Cream,99
456,Wholesaler,Jinja,80215818,16,7668,Cheese,60
457,Retailer,Mbale,43274136,4,1404,Milk,185
458,Retailer,Kampala,97179161,16,7927,Flavored Milk,66
459,Wholesaler,Jinja,47433532,12,2439,Milk,147
460,Wholesaler,Mbale,21210873,14,4125,Cream,41
461,Retailer,Mbale,17369123,12,513,Cheese,88
462,Wholesaler,Jinja,76378729,16,1122,Cheese,132
463,Retailer,Kampala,88002658,16,5496,Yogurt,131
464,Wholesaler,Mbale,43391205,12,523,Yogurt,77
465,Retailer,Gulu,68319080,2,5033,Powder Milk,37
466,Wholesaler,Jinja,63776881,14,988,Yogurt,141
467,Retailer,Mbarara,89876135,11,1360,Powder Milk,198
468,Wholesaler,Mbarara,98709767,9,7241,Cream,86
469,Wholesaler,Kampala,47488295,7,2390,Cream,149
470,Retailer,Gulu,36849577,12,3570,Yogurt,24
